key_id,by_type,by_margin,eliminator,method,result,winner
odis0001,wickets,4.0,,,,New Zealand
odis0002,runs,18.0,,,,Australia
odis0003,runs,99.0,,,,Australia
odis0004,wickets,7.0,,,,India
odis0005,runs,148.0,,,,Australia
odis0006,runs,19.0,,,,India
odis0007,runs,24.0,,,,India
odis0008,wickets,2.0,,D/L,,Australia
odis0009,runs,209.0,,,,South Africa
odis0010,,,,,no result,
odis0011,,,,,no result,
odis0012,wickets,5.0,,,,Australia
odis0013,wickets,7.0,,,,West Indies
odis0014,wickets,7.0,,,,Australia
odis0015,runs,208.0,,,,Australia
odis0016,runs,84.0,,,,Australia
odis0017,runs,1.0,,,,Sri Lanka
odis0018,wickets,6.0,,,,New Zealand
odis0019,runs,40.0,,,,Australia
odis0020,wickets,3.0,,,,Zimbabwe
odis0021,runs,12.0,,,,Pakistan
odis0022,wickets,4.0,,,,Pakistan
odis0023,wickets,5.0,,,,India
odis0024,runs,40.0,,,,India
odis0025,runs,12.0,,D/L,,Sri Lanka
odis0026,,,,,no result,
odis0027,runs,72.0,,,,Sri Lanka
odis0028,wickets,4.0,,,,West Indies
odis0029,wickets,1.0,,,,West Indies
odis0030,runs,23.0,,,,West Indies
odis0031,wickets,7.0,,,,West Indies
odis0032,wickets,7.0,,,,Australia
odis0033,runs,139.0,,,,Australia
odis0034,wickets,8.0,,,,Australia
odis0035,wickets,7.0,,,,West Indies
odis0036,wickets,7.0,,,,New Zealand
odis0037,wickets,7.0,,,,England
odis0038,wickets,7.0,,,,West Indies
odis0039,runs,107.0,,,,New Zealand
odis0040,runs,76.0,,,,Pakistan
odis0041,wickets,7.0,,,,Sri Lanka
odis0042,wickets,10.0,,,,Sri Lanka
odis0043,runs,4.0,,,,India
odis0044,runs,25.0,,,,Sri Lanka
odis0045,runs,66.0,,D/L,,Pakistan
odis0046,,,,,no result,
odis0047,wickets,7.0,,,,Sri Lanka
odis0048,runs,49.0,,,,Sri Lanka
odis0049,wickets,7.0,,,,England
odis0050,runs,70.0,,,,England
odis0051,runs,10.0,,,,Australia
odis0052,runs,23.0,,,,India
odis0053,runs,210.0,,,,New Zealand
odis0054,runs,152.0,,,,England
odis0055,runs,98.0,,,,India
odis0056,wickets,9.0,,,,Australia
odis0057,wickets,7.0,,,,Pakistan
odis0058,wickets,4.0,,,,Sri Lanka
odis0059,runs,138.0,,,,West Indies
odis0060,wickets,7.0,,,,Australia
odis0061,runs,49.0,,D/L,,England
odis0062,wickets,5.0,,,,West Indies
odis0063,wickets,3.0,,,,Pakistan
odis0064,wickets,6.0,,,,England
odis0065,wickets,7.0,,,,West Indies
odis0066,wickets,2.0,,,,West Indies
odis0067,runs,144.0,,,,Pakistan
odis0068,wickets,3.0,,,,Pakistan
odis0069,wickets,8.0,,,,Pakistan
odis0070,wickets,7.0,,,,Sri Lanka
odis0071,runs,119.0,,,,Sri Lanka
odis0072,runs,138.0,,,,New Zealand
odis0073,wickets,5.0,,,,England
odis0074,runs,161.0,,,,England
odis0075,wickets,4.0,,,,New Zealand
odis0076,runs,74.0,,,,England
odis0077,runs,17.0,,,,Australia
odis0078,runs,11.0,,,,India
odis0079,runs,91.0,,,,India
odis0080,wickets,6.0,,,,Pakistan
odis0081,,,,,no result,
odis0082,wickets,9.0,,,,Australia
odis0083,runs,31.0,,,,Zimbabwe
odis0084,runs,73.0,,,,Australia
odis0085,wickets,3.0,,,,Pakistan
odis0086,runs,26.0,,D/L,,England
odis0087,wickets,8.0,,,,Bangladesh
odis0088,runs,30.0,,,,Pakistan
odis0089,,,,,tie,
odis0090,runs,18.0,,,,Australia
odis0091,wickets,3.0,,,,South Africa
