key_id,player_of_match
odis0001,SB Styris
odis0001,
odis0002,A Symonds
odis0002,
odis0003,BA Williams
odis0003,
odis0004,V Sehwag
odis0004,
odis0005,AC Gilchrist
odis0005,
odis0006,VVS Laxman
odis0006,
odis0007,Yuvraj Singh
odis0007,
odis0008,Yuvraj Singh
odis0008,
odis0009,JH Kallis
odis0009,
odis0012,AC Gilchrist
odis0012,
odis0013,S Chanderpaul
odis0013,
odis0014,RT Ponting
odis0014,
odis0015,ML Hayden
odis0015,
odis0016,GB Hogg
odis0016,
odis0017,WPUJC Vaas
odis0017,
odis0018,HJH Marshall
odis0018,
odis0019,MS Kasprowicz
odis0019,
odis0020,Khaled Mahmud
odis0020,
odis0021,SR Tendulkar
odis0021,
odis0022,Yasir Hameed
odis0022,
odis0023,Inzamam-ul-Haq
odis0023,
odis0024,VVS Laxman
odis0024,
odis0025,T Taibu
odis0025,
odis0027,UDU Chandana
odis0027,
odis0028,S Chanderpaul
odis0028,
odis0029,IDR Bradshaw
odis0029,
odis0030,DR Smith
odis0030,
odis0031,DS Smith
odis0031,
odis0032,RT Ponting
odis0032,
odis0033,DS Lehmann
odis0033,
odis0034,JN Gillespie
odis0034,
odis0035,DJ Bravo
odis0035,
odis0036,JEC Franklin
odis0036,
odis0037,SJ Harmison
odis0037,
odis0038,CH Gayle
odis0038,
odis0039,DL Vettori
odis0039,
odis0040,Yasir Hameed
odis0040,
odis0041,DNT Zoysa
odis0041,
odis0042,ST Jayasuriya
odis0042,
odis0043,V Sehwag
odis0043,
odis0044,MS Atapattu
odis0044,
odis0045,Shoaib Malik
odis0045,
odis0047,KC Sangakkara
odis0047,
odis0048,UDU Chandana
odis0048,
odis0049,AG Wharf
odis0049,
odis0050,A Flintoff
odis0050,
odis0051,A Symonds
odis0051,
odis0052,SC Ganguly
odis0052,
odis0053,NJ Astle
odis0053,
odis0054,PD Collingwood
odis0054,
odis0055,SC Ganguly
odis0055,
odis0056,MS Kasprowicz
odis0056,
odis0057,Shahid Afridi
odis0057,
odis0058,E Chigumbura
odis0058,
odis0059,CH Gayle
odis0059,
odis0060,A Symonds
odis0060,
odis0061,A Flintoff
odis0061,
odis0062,RR Sarwan
odis0062,
odis0063,Mohammad Yousuf
odis0063,
odis0064,MP Vaughan
odis0064,
odis0065,RR Sarwan
odis0065,
odis0066,IDR Bradshaw
odis0066,
odis0067,Abdul Razzaq
odis0067,
odis0068,Younis Khan
odis0068,
odis0069,Shoaib Malik
odis0069,
odis0070,MF Maharoof
odis0070,
odis0071,KC Sangakkara
odis0071,
odis0072,CL Cairns
odis0072,
odis0073,IR Bell
odis0073,
odis0074,KP Pietersen
odis0074,
odis0075,HJH Marshall
odis0075,
odis0076,GO Jones
odis0076,
odis0077,GB Hogg
odis0077,
odis0078,M Kaif
odis0078,
odis0079,V Sehwag
odis0079,
odis0080,Kamran Akmal
odis0080,
odis0082,MJ Clarke
odis0082,
odis0083,BG Rogers
odis0083,
odis0084,B Lee
odis0084,
odis0085,Abdul Razzaq
odis0085,
odis0086,MP Vaughan
odis0086,
odis0087,Mohammad Rafique
odis0087,
odis0088,Mohammad Yousuf
odis0088,
odis0089,KP Pietersen
odis0089,
odis0090,A Symonds
odis0090,
odis0091,GC Smith
odis0091,
odis0092,HH Gibbs
odis0092,
odis0093,JM Kemp
odis0093,
odis0095,KP Pietersen
odis0095,
odis0096,MV Boucher
odis0096,
odis0097,MJ Clarke
odis0097,
odis0098,GC Smith
odis0098,
odis0099,AC Gilchrist
odis0099,
odis0100,JM Kemp
odis0100,
odis0101,MS Dhoni
odis0101,
odis0102,Inzamam-ul-Haq
odis0102,
odis0103,Shahid Afridi
odis0103,
odis0104,Shoaib Malik
odis0104,
odis0105,HH Dippenaar
odis0105,
odis0106,HH Dippenaar
odis0106,
odis0107,Abdul Razzaq
odis0107,
odis0108,Shahid Afridi
odis0108,
odis0109,ME Trescothick
odis0109,
odis0110,Mohammad Ashraful
odis0110,
odis0111,A Symonds
odis0111,
odis0112,A Symonds
odis0112,
odis0113,AJ Strauss
odis0113,
odis0115,Shahriar Nafees
odis0115,
odis0116,GO Jones
odis0116,
odis0117,AC Gilchrist
odis0117,
odis0118,R Dravid
odis0118,
odis0119,MF Maharoof
odis0119,
odis0120,OAC Banks
odis0120,
odis0121,AG Prince
odis0121,
odis0122,Shoaib Akhtar
odis0122,
odis0123,IK Pathan
odis0123,
odis0124,AM Blignaut
odis0124,
odis0125,DPMD Jayawardene
odis0125,
odis0126,Yuvraj Singh
odis0126,
odis0127,NJ Astle
odis0127,
odis0128,AC Gilchrist
odis0128,
odis0129,SR Watson
odis0129,
odis0130,R Dravid
odis0130,
odis0131,L Vincent
odis0131,
odis0132,IK Pathan
odis0132,
odis0133,HH Gibbs
odis0133,
odis0134,AB Agarkar
odis0134,
odis0136,TM Dilshan
odis0136,
odis0137,AJ Hall
odis0137,
odis0138,RP Singh
odis0138,
odis0139,IK Pathan
odis0139,
odis0140,Yuvraj Singh
odis0140,
odis0141,R Dravid
odis0141,
odis0142,B Lee
odis0142,
odis0143,AJ Strauss
odis0143,
odis0144,Kamran Akmal
odis0144,
odis0145,JM Anderson
odis0145,
odis0146,PG Fulton
odis0146,
odis0147,WU Tharanga
odis0147,
odis0148,JS Patel
odis0148,
odis0149,SM Pollock
odis0149,
odis0150,KC Sangakkara
odis0150,
odis0151,B Lee
odis0151,
odis0152,ST Jayasuriya
odis0152,
odis0153,HH Dippenaar
odis0153,
odis0154,A Symonds
odis0154,
odis0155,AC Gilchrist
odis0155,
odis0156,GC Smith
odis0156,
odis0157,MEK Hussey
odis0157,
odis0158,AC Gilchrist
odis0158,
odis0159,Salman Butt
odis0159,
odis0160,HMCM Bandara
odis0160,
odis0161,KC Sangakkara
odis0161,
odis0162,IK Pathan
odis0162,
odis0163,A Symonds
odis0163,
odis0164,MS Dhoni
odis0164,
odis0165,AC Gilchrist
odis0165,
odis0166,RP Singh
odis0166,
odis0167,NJ Astle
odis0167,
odis0168,Yuvraj Singh
odis0168,
odis0169,PDRL Perera
odis0169,
odis0170,DL Vettori
odis0170,
odis0171,Aftab Ahmed
odis0171,
odis0172,NJ Astle
odis0172,
odis0173,KC Sangakkara
odis0173,
odis0174,GC Smith
odis0174,
odis0175,L Vincent
odis0175,
odis0176,M Ntini
odis0176,
odis0177,DR Smith
odis0177,
odis0178,B Lee
odis0178,
odis0179,HH Dippenaar
odis0179,
odis0180,HH Gibbs
odis0180,RT Ponting
odis0180,
odis0182,Abdul Razzaq
odis0182,
odis0183,Shahid Afridi
odis0183,
odis0184,Harbhajan Singh
odis0184,
odis0185,SK Raina
odis0185,
odis0186,Yuvraj Singh
odis0186,
odis0187,AJ Strauss
odis0187,
odis0188,S Sreesanth
odis0188,
odis0189,Younis Khan
odis0189,
odis0190,R Dravid
odis0190,
odis0191,AC Gilchrist
odis0191,
odis0192,A Symonds
odis0192,
odis0193,MJ Cosgrove
odis0193,
odis0194,JE Taylor
odis0194,
odis0195,JE Taylor
odis0195,
odis0196,CH Gayle
odis0196,
odis0198,RR Sarwan
odis0198,
odis0199,RR Sarwan
odis0199,
odis0200,RR Sarwan
odis0200,
odis0201,DJ Bravo
odis0201,
odis0202,DJ Bravo
odis0202,
odis0203,ME Trescothick
odis0203,
odis0204,WU Tharanga
odis0204,
odis0205,ST Jayasuriya
odis0205,
odis0206,DPMD Jayawardene
odis0206,
odis0207,DPMD Jayawardene
odis0207,
odis0208,ST Jayasuriya
odis0208,
odis0209,Shahriar Nafees
odis0209,
odis0210,Mashrafe Mortaza
odis0210,
odis0211,Mashrafe Mortaza
odis0211,
odis0212,Mashrafe Mortaza
odis0212,
odis0215,Shoaib Akhtar
odis0215,
odis0216,Younis Khan
odis0216,
odis0217,IR Bell
odis0217,
odis0218,SI Mahmood
odis0218,
odis0219,SR Tendulkar
odis0219,
odis0220,HH Dippenaar
odis0220,
odis0222,AJ Hall
odis0222,
odis0223,MEK Hussey
odis0223,
odis0224,MV Boucher
odis0224,
odis0225,Harbhajan Singh
odis0225,
odis0226,B Lee
odis0226,
odis0227,B Lee
odis0227,
odis0228,WU Tharanga
odis0228,
odis0229,CH Gayle
odis0229,
odis0230,WU Tharanga
odis0230,
odis0231,CH Gayle
odis0231,
odis0232,Shahriar Nafees
odis0232,
odis0233,MF Maharoof
odis0233,
odis0234,MM Patel
odis0234,
odis0235,SP Fleming
odis0235,
odis0236,Abdul Razzaq
odis0236,
odis0237,RS Morton
odis0237,
odis0238,M Muralitharan
odis0238,
odis0239,DR Martyn
odis0239,
odis0240,SM Pollock
odis0240,
odis0241,SP Fleming
odis0241,
odis0242,S Chanderpaul
odis0242,
odis0243,M Ntini
odis0243,
odis0244,CH Gayle
odis0244,
odis0245,DR Martyn
odis0245,
odis0246,GD McGrath
odis0246,
odis0247,CH Gayle
odis0247,
odis0248,SR Watson
odis0248,
odis0249,JH Kallis
odis0249,
odis0250,JM Kemp
odis0250,
odis0251,S Dhaniram
odis0251,
odis0252,HH Gibbs
odis0252,
odis0253,GR Codrington
odis0253,
odis0254,WF Stelling
odis0254,
odis0255,S Mukuddem
odis0255,
odis0256,SC Williams
odis0256,
odis0257,SM Pollock
odis0257,
odis0258,Abdur Razzak
odis0258,
odis0259,Inzamam-ul-Haq
odis0259,
odis0260,Aftab Ahmed
odis0260,
odis0261,GB Brent
odis0261,
odis0262,Naved-ul-Hasan
odis0262,
odis0263,MN Samuels
odis0263,
odis0264,Naved-ul-Hasan
odis0264,
odis0265,ST Jayasuriya
odis0265,
odis0266,MJ Mason
odis0266,
odis0267,ST Jayasuriya
odis0267,
odis0268,AC Gilchrist
odis0268,
odis0269,A Symonds
odis0269,
odis0270,A Flintoff
odis0270,
odis0271,MEK Hussey
odis0271,
odis0272,MJ Clarke
odis0272,
odis0274,JDP Oram
odis0274,
odis0276,MG Johnson
odis0276,
odis0277,MN Samuels
odis0277,
odis0278,RT Ponting
odis0278,
odis0279,L Vincent
odis0279,
odis0280,SR Tendulkar
odis0280,
odis0281,JM Davison
odis0281,
odis0282,EC Joyce
odis0282,
odis0283,RM Haq
odis0283,
odis0284,RN ten Doeschate
odis0284,
odis0285,JH Kallis
odis0285,
odis0286,RT Ponting
odis0286,
odis0287,TM Odoyo
odis0287,
odis0288,PD Collingwood
odis0288,
odis0289,Younis Khan
odis0289,
odis0292,PD Collingwood
odis0292,
odis0293,KC Sangakkara
odis0293,
odis0294,SM Pollock
odis0294,
odis0296,Z Khan
odis0296,
odis0297,SM Pollock
odis0297,
odis0298,SE Bond
odis0298,
odis0299,LPC Silva
odis0299,
odis0300,LRPL Taylor
odis0300,
odis0301,ML Hayden
odis0301,
odis0302,S Nitschke
odis0302,KE Pike
odis0302,
odis0303,DR Smith
odis0303,
odis0304,RT Ponting
odis0304,
odis0305,JP Bray
odis0305,
odis0306,DPMD Jayawardene
odis0306,
odis0307,SB Styris
odis0307,
odis0308,HH Gibbs
odis0308,
odis0309,NJ O'Brien
odis0309,
odis0310,Mashrafe Mortaza
odis0310,
odis0311,PD Collingwood
odis0311,
odis0312,BJ Hodge
odis0312,
odis0313,SC Williams
odis0313,
odis0314,V Sehwag
odis0314,
odis0315,LRPL Taylor
odis0315,
odis0316,GC Smith
odis0316,
odis0317,Imran Nazir
odis0317,
odis0318,ST Jayasuriya
odis0318,
odis0319,L Vincent
odis0319,
odis0320,WF Stelling
odis0320,
odis0321,S Chanderpaul
odis0321,
odis0322,M Muralitharan
odis0322,
odis0323,EC Joyce
odis0323,
odis0324,ML Hayden
odis0324,
odis0325,Mohammad Ashraful
odis0325,
odis0326,ML Hayden
odis0326,
odis0327,CK Langeveldt
odis0327,SL Malinga
odis0327,
odis0328,JDP Oram
odis0328,
odis0329,PD Collingwood
odis0329,
odis0330,GD McGrath
odis0330,
odis0331,ST Jayasuriya
odis0331,
odis0332,SE Bond
odis0332,
odis0333,JH Kallis
odis0333,
odis0334,RS Bopara
odis0334,
odis0335,Mohammad Ashraful
odis0335,
odis0336,SW Tait
odis0336,
odis0337,PG Fulton
odis0337,
odis0338,AB de Villiers
odis0338,
odis0339,SI Mahmood
odis0339,
odis0340,WPUJC Vaas
odis0340,
odis0341,GD McGrath
odis0341,
odis0342,CD McMillan
odis0342,
odis0343,WTS Porterfield
odis0343,
odis0344,NW Bracken
odis0344,
odis0345,AJ Hall
odis0345,
odis0346,MF Maharoof
odis0346,
odis0347,RR Sarwan
odis0347,
odis0348,ML Hayden
odis0348,
odis0349,KP Pietersen
odis0349,
odis0350,DPMD Jayawardene
odis0350,
odis0351,GD McGrath
odis0351,
odis0352,AC Gilchrist
odis0352,
odis0353,MS Dhoni
odis0353,
odis0354,G Gambhir
odis0354,
odis0355,SM Pollock
odis0355,
odis0356,CRD Fernando
odis0356,
odis0357,MS Dhoni
odis0357,
odis0358,G Gambhir
odis0358,
odis0359,AR Cusack
odis0359,
odis0360,JH Kallis
odis0360,
odis0361,SR Tendulkar
odis0361,
odis0362,Yuvraj Singh
odis0362,
odis0363,FH Edwards
odis0363,
odis0364,S Chanderpaul
odis0364,
odis0365,DBL Powell
odis0365,
odis0368,CRD Fernando
odis0368,
odis0369,ST Jayasuriya
odis0369,
odis0370,J Mubarak
odis0370,
odis0371,G Gambhir
odis0371,
odis0372,IR Bell
odis0372,
odis0373,GB Brent
odis0373,
odis0374,R Dravid
odis0374,
odis0375,HH Gibbs
odis0375,
odis0376,AB de Villiers
odis0376,
