key_id,team,player
odis0001,,
odis0002,,
odis0003,,
odis0004,,
odis0005,,
odis0006,,
odis0007,,
odis0008,,
odis0009,,
odis0010,,
odis0011,,
odis0012,,
odis0013,,
odis0014,,
odis0015,,
odis0016,,
odis0017,,
odis0018,,
odis0019,,
odis0020,,
odis0021,,
odis0022,,
odis0023,,
odis0024,,
odis0025,,
odis0026,,
odis0027,,
odis0028,,
odis0029,,
odis0030,,
odis0031,,
odis0032,,
odis0033,,
odis0034,,
odis0035,,
odis0036,,
odis0037,,
odis0038,,
odis0039,,
odis0040,,
odis0041,,
odis0042,,
odis0043,,
odis0044,,
odis0045,,
odis0046,,
odis0047,,
odis0048,,
odis0049,,
odis0050,,
odis0051,,
odis0052,,
odis0053,,
odis0054,,
odis0055,,
odis0056,,
odis0057,,
odis0058,,
odis0059,,
odis0060,,
odis0061,,
odis0062,,
odis0063,,
odis0064,,
odis0065,,
odis0066,,
odis0067,,
odis0068,,
odis0069,,
odis0070,,
odis0071,,
odis0072,,
odis0073,,
odis0074,,
odis0075,,
odis0076,,
odis0077,,
odis0078,,
odis0079,,
odis0080,,
odis0081,,
odis0082,,
odis0083,,
odis0084,,
odis0085,,
odis0086,,
odis0087,,
odis0088,,
odis0089,,
odis0090,,
odis0091,,
odis0092,,
odis0093,,
odis0094,,
odis0095,,
odis0096,,
odis0097,,
odis0098,,
odis0099,,
odis0100,,
odis0101,,
odis0102,,
odis0103,,
odis0104,,
odis0105,,
odis0106,,
odis0107,,
odis0108,,
odis0109,,
odis0110,,
odis0111,,
odis0112,,
odis0113,,
odis0114,,
odis0115,,
odis0116,,
odis0117,Australia,SM Katich
odis0117,England,VS Solanki
odis0118,,
odis0119,,
odis0120,,
odis0121,Africa XI,JM Kemp
odis0121,Asia XI,Mohammad Ashraful
odis0122,Africa XI,TM Odoyo
odis0122,Asia XI,A Nehra
odis0123,Zimbabwe,V Sibanda
odis0124,Zimbabwe,NB Mahwire
odis0124,New Zealand,JS Patel
odis0125,Sri Lanka,UDU Chandana
odis0125,Bangladesh,Manjural Islam Rana
odis0126,India,Y Venugopal Rao
odis0126,Zimbabwe,KM Dabengwa
odis0127,India,Harbhajan Singh
odis0127,New Zealand,CL Cairns
odis0128,ICC World XI,CH Gayle
odis0128,Australia,CL White
odis0129,ICC World XI,Shahid Afridi
odis0130,India,M Kartik
odis0130,Sri Lanka,LHD Dilhara
odis0131,South Africa,N Boje
odis0131,New Zealand,JEC Franklin
odis0132,Sri Lanka,UDU Chandana
odis0133,South Africa,N Boje
odis0133,New Zealand,JDP Oram
odis0134,India,SK Raina
odis0135,,
odis0136,India,Jai Prakash Yadav
odis0136,Sri Lanka,MF Maharoof
odis0137,New Zealand,CD McMillan
odis0137,South Africa,JA Morkel
odis0138,Sri Lanka,MF Maharoof
odis0138,India,SK Raina
odis0139,India,SK Raina
odis0139,Sri Lanka,DNT Zoysa
odis0140,South Africa,JL Ontong
odis0140,India,G Gambhir
odis0141,India,G Gambhir
odis0141,South Africa,RJ Peterson
odis0142,Australia,CL White
odis0142,New Zealand,JAH Marshall
odis0143,England,LE Plunkett
odis0144,England,IR Bell
odis0144,Pakistan,Yasir Arafat
odis0145,Pakistan,Danish Kaneria
odis0145,England,JM Anderson
odis0146,New Zealand,NJ Astle
odis0146,Sri Lanka,MF Maharoof
odis0147,New Zealand,NJ Astle
odis0147,Sri Lanka,J Mubarak
odis0148,New Zealand,JS Patel
odis0148,Sri Lanka,HMCM Bandara
odis0149,Australia,JR Hopes
odis0150,South Africa,JA Rudolph
odis0150,Sri Lanka,HMCM Bandara
odis0151,Australia,GB Hogg
odis0151,South Africa,JJ van der Wath
odis0152,Australia,GB Hogg
odis0152,Sri Lanka,HMCM Bandara
odis0153,South Africa,J Botha
odis0153,Sri Lanka,HMCM Bandara
odis0154,Sri Lanka,HMCM Bandara
odis0155,Sri Lanka,WCA Ganegama
odis0156,South Africa,J Botha
odis0156,Sri Lanka,HMCM Bandara
odis0157,Australia,JR Hopes
odis0157,South Africa,J Botha
odis0158,Australia,JR Hopes
odis0158,South Africa,CK Langeveldt
odis0159,India,SK Raina
odis0159,Pakistan,Arshad Khan
odis0160,South Africa,J Botha
odis0160,Sri Lanka,HMCM Bandara
odis0161,Australia,JR Hopes
odis0161,Sri Lanka,HMCM Bandara
odis0162,India,RR Powar
odis0162,Pakistan,Arshad Khan
odis0163,Australia,ML Lewis
odis0163,Sri Lanka,HMCM Bandara
odis0164,India,Z Khan
odis0164,Pakistan,Umar Gul
odis0165,Sri Lanka,HMCM Bandara
odis0166,Pakistan,Imran Farhat
odis0167,New Zealand,JS Patel
odis0167,West Indies,RN Lewis
odis0168,,
odis0169,Bangladesh,Abdur Razzak
odis0170,New Zealand,JS Patel
odis0170,West Indies,RN Lewis
odis0171,Bangladesh,Rajin Saleh
odis0172,New Zealand,JS Patel
odis0172,West Indies,RN Lewis
odis0173,Bangladesh,Manjural Islam Rana
odis0174,,
odis0175,New Zealand,JS Patel
odis0175,West Indies,DJ Bravo
odis0176,,
odis0177,New Zealand,JS Patel
odis0177,West Indies,RN Lewis
odis0178,,
odis0179,,
odis0180,,
odis0181,,
odis0182,,
odis0183,,
odis0184,,
odis0185,,
odis0186,,
odis0187,,
odis0188,,
odis0189,,
odis0190,,
odis0191,,
odis0192,,
odis0193,,
odis0194,,
odis0195,,
odis0196,,
odis0197,,
odis0198,,
odis0199,,
odis0200,,
odis0201,,
odis0202,,
odis0203,,
odis0204,,
odis0205,,
odis0206,,
odis0207,,
odis0208,,
odis0209,,
odis0210,,
odis0211,,
odis0212,,
odis0213,,
odis0214,,
odis0215,,
odis0216,,
odis0217,,
odis0218,,
odis0219,,
odis0220,,
odis0221,,
odis0222,,
odis0223,,
odis0224,,
odis0225,,
odis0226,,
odis0227,,
odis0228,,
odis0229,,
odis0230,,
odis0231,,
odis0232,,
odis0233,,
odis0234,,
odis0235,,
odis0236,,
odis0237,,
odis0238,,
odis0239,,
odis0240,,
odis0241,,
odis0242,,
odis0243,,
odis0244,,
odis0245,,
odis0246,,
odis0247,,
odis0248,,
odis0249,,
odis0250,,
odis0251,,
odis0252,,
odis0253,,
odis0254,,
odis0255,,
odis0256,,
odis0257,,
odis0258,,
odis0259,,
odis0260,,
odis0261,,
odis0262,,
odis0263,,
odis0264,,
odis0265,,
odis0266,,
odis0267,,
odis0268,,
odis0269,,
odis0270,,
odis0271,,
odis0272,,
odis0273,,
odis0274,,
odis0275,,
odis0276,,
odis0277,,
odis0278,,
odis0279,,
odis0280,,
odis0281,,
odis0282,,
odis0283,,
odis0284,,
odis0285,,
odis0286,,
odis0287,,
odis0288,,
odis0289,,
odis0290,,
odis0291,,
odis0292,,
odis0293,,
odis0294,,
odis0295,,
odis0296,,
odis0297,,
odis0298,,
odis0299,,
odis0300,,
odis0301,,
odis0302,,
odis0303,,
odis0304,,
odis0305,,
odis0306,,
odis0307,,
odis0308,,
odis0309,,
odis0310,,
odis0311,,
odis0312,,
odis0313,,
odis0314,,
odis0315,,
odis0316,,
odis0317,,
odis0318,,
odis0319,,
odis0320,,
odis0321,,
odis0322,,
odis0323,,
odis0324,,
odis0325,,
odis0326,,
odis0327,,
odis0328,,
odis0329,,
odis0330,,
odis0331,,
odis0332,,
odis0333,,
odis0334,,
odis0335,,
odis0336,,
odis0337,,
odis0338,,
odis0339,,
odis0340,,
odis0341,,
odis0342,,
odis0343,,
odis0344,,
odis0345,,
odis0346,,
odis0347,,
odis0348,,
odis0349,,
odis0350,,
odis0351,,
odis0352,,
odis0353,,
odis0354,,
odis0355,,
odis0356,,
odis0357,,
odis0358,,
odis0359,,
odis0360,,
odis0361,,
odis0362,,
odis0363,,
odis0364,,
odis0365,,
odis0366,,
odis0367,,
odis0368,,
odis0369,,
odis0370,,
odis0371,,
odis0372,,
odis0373,,
odis0374,,
odis0375,,
odis0376,,
odis0377,,
odis0378,,
odis0379,,
odis0380,,
odis0381,,
odis0382,,
odis0383,,
odis0384,,
odis0385,,
odis0386,,
odis0387,,
odis0388,,
odis0389,,
odis0390,,
odis0391,,
odis0392,,
odis0393,,
odis0394,,
odis0395,,
odis0396,,
odis0397,,
odis0398,,
odis0399,,
odis0400,,
odis0401,,
odis0402,,
odis0403,,
odis0404,,
