key_id,teams
odis0001,Pakistan
odis0001,New Zealand
odis0002,Australia
odis0002,India
odis0003,Australia
odis0003,Zimbabwe
odis0004,Zimbabwe
odis0004,India
odis0005,Australia
odis0005,Zimbabwe
odis0006,India
odis0006,Australia
odis0007,India
odis0007,Zimbabwe
odis0008,India
odis0008,Australia
odis0009,South Africa
odis0009,West Indies
odis0010,Australia
odis0010,Zimbabwe
odis0011,West Indies
odis0011,South Africa
odis0012,India
odis0012,Australia
odis0013,South Africa
odis0013,West Indies
odis0014,India
odis0014,Australia
odis0015,Australia
odis0015,India
odis0016,Australia
odis0016,Sri Lanka
odis0017,Sri Lanka
odis0017,Australia
odis0018,South Africa
odis0018,New Zealand
odis0019,Australia
odis0019,Sri Lanka
odis0020,Bangladesh
odis0020,Zimbabwe
odis0021,Pakistan
odis0021,India
odis0022,India
odis0022,Pakistan
odis0023,Pakistan
odis0023,India
odis0024,India
odis0024,Pakistan
odis0025,Zimbabwe
odis0025,Sri Lanka
odis0026,West Indies
odis0026,England
odis0027,Sri Lanka
odis0027,Zimbabwe
odis0028,England
odis0028,West Indies
odis0029,Bangladesh
odis0029,West Indies
odis0030,West Indies
odis0030,Bangladesh
odis0031,Bangladesh
odis0031,West Indies
odis0032,Zimbabwe
odis0032,Australia
odis0033,Australia
odis0033,Zimbabwe
odis0034,Zimbabwe
odis0034,Australia
odis0035,England
odis0035,West Indies
odis0036,England
odis0036,New Zealand
odis0037,West Indies
odis0037,England
odis0038,England
odis0038,West Indies
odis0039,New Zealand
odis0039,West Indies
odis0040,Pakistan
odis0040,Bangladesh
odis0041,Pakistan
odis0041,Sri Lanka
odis0042,Bangladesh
odis0042,Sri Lanka
odis0043,India
odis0043,Sri Lanka
odis0044,Sri Lanka
odis0044,India
odis0045,Pakistan
odis0045,India
odis0046,Australia
odis0046,India
odis0047,South Africa
odis0047,Sri Lanka
odis0048,Sri Lanka
odis0048,South Africa
odis0049,India
odis0049,England
odis0050,England
odis0050,India
odis0051,Australia
odis0051,Pakistan
odis0052,India
odis0052,England
odis0053,New Zealand
odis0053,United States of America
odis0054,England
odis0054,Zimbabwe
odis0055,India
odis0055,Kenya
odis0056,United States of America
odis0056,Australia
odis0057,Kenya
odis0057,Pakistan
odis0058,Zimbabwe
odis0058,Sri Lanka
odis0059,West Indies
odis0059,Bangladesh
odis0060,New Zealand
odis0060,Australia
odis0061,England
odis0061,Sri Lanka
odis0062,South Africa
odis0062,West Indies
odis0063,India
odis0063,Pakistan
odis0064,Australia
odis0064,England
odis0065,Pakistan
odis0065,West Indies
odis0066,England
odis0066,West Indies
odis0067,Pakistan
odis0067,Zimbabwe
odis0068,Zimbabwe
odis0068,Pakistan
odis0069,Sri Lanka
