key_id,decision,winner
odis0001,field,New Zealand
odis0002,bat,Australia
odis0003,bat,Australia
odis0004,bat,Zimbabwe
odis0005,bat,Australia
odis0006,bat,India
odis0007,bat,India
odis0008,bat,India
odis0009,bat,South Africa
odis0010,field,Zimbabwe
odis0011,bat,West Indies
odis0012,bat,India
odis0013,bat,South Africa
odis0014,bat,India
odis0015,bat,Australia
odis0016,bat,Australia
odis0017,bat,Sri Lanka
odis0018,field,New Zealand
odis0019,bat,Australia
odis0020,bat,Bangladesh
odis0021,bat,Pakistan
odis0022,field,Pakistan
odis0023,bat,Pakistan
odis0024,field,Pakistan
odis0025,field,Sri Lanka
odis0026,bat,West Indies
odis0027,field,Zimbabwe
odis0028,field,West Indies
odis0029,field,West Indies
odis0030,field,Bangladesh
odis0031,bat,Bangladesh
odis0032,bat,Zimbabwe
odis0033,field,Zimbabwe
odis0034,field,Australia
odis0035,field,West Indies
odis0036,field,New Zealand
odis0037,field,England
odis0038,field,West Indies
odis0039,field,West Indies
odis0040,bat,Pakistan
odis0041,bat,Pakistan
odis0042,bat,Bangladesh
odis0043,bat,India
odis0044,bat,Sri Lanka
odis0045,field,India
odis0046,bat,Australia
odis0047,field,Sri Lanka
odis0048,field,South Africa
odis0049,field,England
odis0050,field,India
odis0051,field,Pakistan
odis0052,bat,India
odis0053,field,United States of America
odis0054,field,Zimbabwe
odis0055,field,Kenya
odis0056,field,Australia
odis0057,field,Pakistan
odis0058,field,Sri Lanka
odis0059,field,Bangladesh
odis0060,field,Australia
odis0061,field,Sri Lanka
odis0062,field,West Indies
odis0063,field,Pakistan
odis0064,field,England
odis0065,bat,Pakistan
odis0066,field,West Indies
odis0067,bat,Pakistan
odis0068,field,Pakistan
odis0069,bat,Sri Lanka
odis0070,field,Sri Lanka
odis0071,field,Pakistan
odis0072,bat,New Zealand
odis0073,field,England
odis0074,bat,England
odis0075,field,New Zealand
odis0076,bat,England
odis0077,bat,Australia
odis0078,field,Bangladesh
odis0079,bat,India
odis0080,field,Pakistan
odis0081,bat,West Indies
odis0082,field,Australia
odis0083,bat,Zimbabwe
odis0084,bat,Australia
odis0085,bat,Australia
odis0086,field,England
odis0087,bat,Zimbabwe
odis0088,field,West Indies
odis0089,field,South Africa
odis0090,bat,Australia
odis0091,bat,England
odis0092,field,England
odis0093,bat,South Africa
odis0094,bat,South Africa
odis0095,field,South Africa
odis0096,field,Zimbabwe
odis0097,bat,Australia
odis0098,field,Zimbabwe
odis0099,field,Australia
odis0100,bat,Zimbabwe
odis0101,bat,India
odis0102,bat,India
odis0103,bat,India
odis0104,bat,Pakistan
odis0105,field,South Africa
odis0106,field,South Africa
odis0107,field,West Indies
odis0108,field,West Indies
odis0109,field,England
odis0110,bat,Australia
odis0111,field,England
odis0112,field,Australia
odis0113,bat,Bangladesh
odis0114,bat,Australia
odis0115,field,Australia
odis0116,field,England
odis0117,field,Australia
odis0118,bat,West Indies
odis0119,bat,Sri Lanka
odis0120,bat,West Indies
odis0121,field,Asia XI
odis0122,bat,Africa XI
odis0123,field,Zimbabwe
odis0124,bat,New Zealand
odis0125,field,Bangladesh
odis0126,field,India
odis0127,bat,India
odis0128,bat,Australia
odis0129,bat,Australia
odis0130,bat,India
odis0131,bat,South Africa
odis0132,field,India
odis0133,field,South Africa
odis0134,field,India
odis0135,bat,South Africa
odis0136,field,Sri Lanka
odis0137,field,South Africa
odis0138,field,India
odis0139,bat,Sri Lanka
odis0140,field,South Africa
odis0141,field,India
odis0142,field,New Zealand
odis0143,bat,England
odis0144,field,England
odis0145,bat,England
odis0146,field,New Zealand
odis0147,field,New Zealand
odis0148,bat,New Zealand
