key_id,umpires
odis0001,EAR de Silva
odis0001,DB Cowie
odis0002,SJA Taufel
odis0002,SA Bucknor
odis0003,RE Koertzen
odis0003,SJA Taufel
odis0004,PD Parker
odis0004,SA Bucknor
odis0005,RE Koertzen
odis0005,SJ Davis
odis0006,PD Parker
odis0006,SA Bucknor
odis0007,RE Koertzen
odis0007,SJ Davis
odis0008,DJ Harper
odis0008,SA Bucknor
odis0009,DB Hair
odis0009,IL Howell
odis0010,PD Parker
odis0010,RE Koertzen
odis0011,DB Hair
odis0011,IL Howell
odis0012,DJ Harper
odis0012,SA Bucknor
odis0013,Aleem Dar
odis0013,BG Jerling
odis0014,SJA Taufel
odis0014,SA Bucknor
odis0015,DJ Harper
odis0015,RE Koertzen
odis0016,EAR de Silva
odis0016,BF Bowden
odis0017,BF Bowden
odis0017,PT Manuel
odis0018,RB Tiffin
odis0018,AL Hill
odis0019,BF Bowden
odis0019,TH Wijewardene
odis0020,BG Jerling
odis0020,ID Robinson
odis0021,Asad Rauf
odis0021,SJA Taufel
odis0022,DR Shepherd
odis0022,Nadeem Ghauri
odis0023,Asad Rauf
odis0023,SJA Taufel
odis0024,DR Shepherd
odis0024,Nadeem Ghauri
odis0025,DJ Harper
odis0025,KC Barbour
odis0026,BR Doctrove
odis0026,DB Hair
odis0027,IL Howell
odis0027,KC Barbour
odis0028,Aleem Dar
odis0028,EA Nicholls
odis0029,DR Shepherd
odis0029,EA Nicholls
odis0030,BR Doctrove
odis0030,DR Shepherd
odis0031,DR Shepherd
odis0031,EA Nicholls
odis0032,KC Barbour
odis0032,SA Bucknor
odis0033,ID Robinson
odis0033,SA Bucknor
odis0034,ID Robinson
odis0034,SA Bucknor
odis0035,DJ Harper
odis0035,MR Benson
odis0036,JW Lloyds
odis0036,RE Koertzen
odis0037,DJ Harper
odis0037,MR Benson
odis0038,JW Lloyds
odis0038,RE Koertzen
odis0039,DR Shepherd
odis0039,RE Koertzen
odis0040,BG Jerling
odis0040,MG Silva
odis0041,BF Bowden
odis0041,PD Parker
odis0042,DR Shepherd
odis0042,PD Parker
odis0043,BR Doctrove
odis0043,DR Shepherd
odis0044,BF Bowden
odis0044,DR Shepherd
odis0045,DR Shepherd
odis0045,SA Bucknor
odis0046,JW Lloyds
odis0046,SA Bucknor
odis0047,EAR de Silva
odis0047,BF Bowden
odis0048,BF Bowden
odis0048,TH Wijewardene
odis0049,DB Hair
odis0049,DR Shepherd
odis0050,DB Hair
odis0050,MR Benson
odis0051,DR Shepherd
odis0051,SA Bucknor
odis0052,DB Hair
odis0052,JW Lloyds
odis0053,BR Doctrove
odis0053,DR Shepherd
odis0054,SJA Taufel
odis0054,SA Bucknor
odis0055,DJ Harper
odis0055,RE Koertzen
odis0056,Aleem Dar
odis0056,BF Bowden
odis0057,BR Doctrove
odis0057,DB Hair
odis0058,DJ Harper
odis0058,DR Shepherd
odis0059,Aleem Dar
odis0059,JW Lloyds
odis0060,RE Koertzen
odis0060,SA Bucknor
odis0061,BF Bowden
odis0061,DB Hair
odis0062,DR Shepherd
odis0062,JW Lloyds
odis0063,RE Koertzen
odis0063,SJA Taufel
odis0064,BF Bowden
odis0064,RE Koertzen
odis0065,DB Hair
odis0065,SJA Taufel
odis0066,RE Koertzen
odis0066,SJA Taufel
odis0067,MR Benson
odis0067,Nadeem Ghauri
odis0068,Asad Rauf
odis0068,MR Benson
odis0069,Asad Rauf
odis0069,MR Benson
odis0070,Aleem Dar
odis0070,SJA Taufel
odis0071,Aleem Dar
odis0071,SJA Taufel
odis0072,AFM Akhtaruddin
odis0072,MR Benson
odis0073,BG Jerling
odis0073,KC Barbour
odis0074,DB Hair
odis0074,RB Tiffin
odis0075,RE Koertzen
odis0075,SJ Davis
odis0076,DB Hair
odis0076,RB Tiffin
odis0077,PD Parker
odis0077,RE Koertzen
odis0078,Aleem Dar
odis0078,Mahbubur Rahman
odis0079,Aleem Dar
odis0079,Mahbubur Rahman
odis0080,PD Parker
odis0080,RE Koertzen
odis0081,BF Bowden
odis0081,SJA Taufel
odis0082,RE Koertzen
odis0082,DJ Harper
odis0083,Asad Rauf
odis0083,Mahbubur Rahman
odis0084,BF Bowden
odis0084,SJ Davis
odis0085,PD Parker
odis0085,BF Bowden
odis0086,SA Bucknor
odis0086,IL Howell
odis0087,Mahbubur Rahman
odis0087,Nadeem Ghauri
odis0088,RE Koertzen
odis0088,SJ Davis
odis0089,SJA Taufel
odis0089,BG Jerling
odis0090,BF Bowden
odis0090,SJ Davis
odis0091,SA Bucknor
odis0091,BG Jerling
odis0092,SJA Taufel
odis0092,IL Howell
odis0093,SA Bucknor
odis0093,IL Howell
odis0094,SJA Taufel
odis0094,BG Jerling
odis0095,SA Bucknor
odis0095,BG Jerling
odis0096,DJ Harper
odis0096,IL Howell
odis0097,Aleem Dar
odis0097,DB Cowie
odis0098,BG Jerling
odis0098,BR Doctrove
odis0099,Aleem Dar
odis0099,AL Hill
odis0100,DJ Harper
odis0100,IL Howell
odis0101,BF Bowden
odis0101,AV Jayaprakash
odis0102,RE Koertzen
odis0102,K Hariharan
odis0103,RE Koertzen
odis0103,K Hariharan
odis0104,RE Koertzen
odis0104,AV Jayaprakash
odis0105,SJA Taufel
odis0105,BR Doctrove
odis0106,EA Nicholls
odis0106,DB Hair
odis0107,EA Nicholls
odis0107,DR Shepherd
odis0108,EA Nicholls
odis0108,DR Shepherd
odis0109,MR Benson
odis0109,Aleem Dar
odis0110,BF Bowden
odis0110,DR Shepherd
odis0111,MR Benson
odis0111,Aleem Dar
odis0112,BF Bowden
odis0112,JW Lloyds
odis0113,MR Benson
odis0113,Aleem Dar
odis0114,BF Bowden
odis0114,DR Shepherd
odis0115,Aleem Dar
odis0115,JW Lloyds
odis0116,BF Bowden
odis0116,DR Shepherd
odis0117,RE Koertzen
odis0117,DR Shepherd
odis0118,DJ Harper
odis0118,TH Wijewardene
odis0119,EAR de Silva
odis0119,SJA Taufel
odis0120,EAR de Silva
odis0120,SJA Taufel
odis0121,SJ Davis
odis0121,BR Doctrove
odis0122,SJ Davis
odis0122,BR Doctrove
odis0123,IL Howell
odis0123,KC Barbour
odis0124,RB Tiffin
odis0124,DJ Harper
odis0125,Asad Rauf
odis0125,EAR de Silva
odis0126,RB Tiffin
odis0126,DJ Harper
odis0127,DJ Harper
odis0127,KC Barbour
odis0128,RE Koertzen
odis0128,DB Hair
odis0129,Aleem Dar
odis0129,DB Hair
odis0130,BF Bowden
odis0130,K Hariharan
odis0131,SA Bucknor
odis0131,IL Howell
odis0132,BF Bowden
odis0132,AV Jayaprakash
odis0133,SA Bucknor
odis0133,BG Jerling
odis0134,BF Bowden
odis0134,AV Jayaprakash
odis0135,SA Bucknor
odis0135,BG Jerling
odis0136,MR Benson
odis0136,K Hariharan
odis0137,SA Bucknor
odis0137,BG Jerling
odis0138,MR Benson
odis0138,AV Jayaprakash
odis0139,MR Benson
odis0139,K Hariharan
odis0140,K Hariharan
odis0140,DJ Harper
odis0141,K Hariharan
odis0141,DJ Harper
odis0142,Aleem Dar
odis0142,AL Hill
odis0143,DB Hair
odis0143,BG Jerling
odis0144,RE Koertzen
odis0144,AL Hill
odis0145,RE Koertzen
odis0145,AL Hill
odis0146,DB Hair
odis0146,AL Hill
odis0147,GAV Baxter
odis0147,DB Hair
odis0148,DB Hair
odis0148,AL Hill
odis0149,Aleem Dar
odis0149,SJA Taufel
odis0150,Aleem Dar
odis0150,DJ Harper
odis0151,MR Benson
odis0151,DJ Harper
odis0152,MR Benson
odis0152,SJ Davis
odis0153,Aleem Dar
odis0153,DJ Harper
odis0154,Aleem Dar
odis0154,SJ Davis
odis0155,MR Benson
odis0155,PD Parker
odis0156,MR Benson
odis0156,PD Parker
odis0157,Aleem Dar
odis0157,PD Parker
odis0158,Aleem Dar
odis0158,PD Parker
odis0159,Asad Rauf
odis0159,SJA Taufel
odis0160,MR Benson
odis0160,DJ Harper
odis0161,Aleem Dar
odis0161,DJ Harper
odis0162,Asad Rauf
odis0162,SJA Taufel
odis0163,MR Benson
odis0163,PD Parker
odis0164,Asad Rauf
odis0164,SJA Taufel
odis0165,Aleem Dar
odis0165,DJ Harper
odis0166,Asad Rauf
odis0166,SA Bucknor
odis0167,AL Hill
odis0167,RE Koertzen
odis0168,Aleem Dar
odis0168,SA Bucknor
odis0169,K Hariharan
odis0169,Mahbubur Rahman
odis0170,BF Bowden
odis0170,RE Koertzen
odis0171,K Hariharan
odis0171,Mahbubur Rahman
odis0172,BF Bowden
odis0172,RE Koertzen
odis0173,AFM Akhtaruddin
odis0173,K Hariharan
odis0174,BG Jerling
odis0174,JW Lloyds
odis0175,BF Bowden
odis0175,RE Koertzen
odis0176,KH Hurter
odis0176,JW Lloyds
odis0177,DJ Harper
odis0177,AL Hill
odis0178,BG Jerling
odis0178,JW Lloyds
odis0179,KH Hurter
odis0179,JW Lloyds
odis0180,Aleem Dar
odis0180,BG Jerling
odis0181,SJ Davis
odis0181,EAR de Silva
odis0182,SJ Davis
odis0182,TH Wijewardene
odis0183,SJ Davis
odis0183,EAR de Silva
odis0184,Asad Rauf
odis0184,AV Jayaprakash
odis0185,Asad Rauf
odis0185,AV Jayaprakash
odis0186,Asad Rauf
odis0186,K Hariharan
odis0187,K Hariharan
odis0187,RE Koertzen
odis0188,AV Jayaprakash
odis0188,RE Koertzen
odis0189,BG Jerling
odis0189,RE Koertzen
odis0190,BG Jerling
odis0190,RE Koertzen
odis0191,IL Howell
odis0191,Mahbubur Rahman
odis0192,AFM Akhtaruddin
odis0192,IL Howell
odis0193,IL Howell
odis0193,Nadir Shah
odis0194,BF Bowden
odis0194,BR Doctrove
odis0195,BF Bowden
odis0195,SA Bucknor
odis0196,BF Bowden
odis0196,BR Doctrove
odis0197,BF Bowden
odis0197,SA Bucknor
odis0198,BF Bowden
odis0198,BR Doctrove
odis0199,Asad Rauf
odis0199,BR Doctrove
odis0200,Asad Rauf
odis0200,SA Bucknor
odis0201,BR Doctrove
odis0201,SJA Taufel
odis0202,SA Bucknor
odis0202,SJA Taufel
odis0203,R Dill
odis0203,DB Hair
odis0204,DB Hair
odis0204,NJ Llong
odis0205,IJ Gould
odis0205,DB Hair
odis0206,MR Benson
odis0206,BR Doctrove
odis0207,BR Doctrove
odis0207,NJ Llong
odis0208,MR Benson
odis0208,BR Doctrove
odis0209,KC Barbour
odis0209,IL Howell
odis0210,K Hariharan
odis0210,SR Modi
odis0211,K Hariharan
odis0211,SR Modi
odis0212,K Hariharan
odis0212,SR Modi
odis0213,BF Bowden
odis0213,EAR de Silva
odis0214,BR Doctrove
odis0214,IJ Gould
odis0215,MR Benson
odis0215,BR Doctrove
odis0216,BR Doctrove
odis0216,NJ Llong
odis0217,MR Benson
odis0217,DJ Harper
odis0218,IJ Gould
odis0218,DJ Harper
odis0219,Asad Rauf
odis0219,MR Benson
odis0220,DJ Harper
odis0220,BG Jerling
odis0221,MR Benson
odis0221,AL Hill
odis0222,DJ Harper
odis0222,IL Howell
odis0223,Asad Rauf
odis0223,AL Hill
odis0224,DJ Harper
odis0224,BG Jerling
odis0225,MR Benson
odis0225,AL Hill
odis0226,Asad Rauf
odis0226,MR Benson
odis0227,Asad Rauf
odis0227,MR Benson
odis0228,SA Bucknor
odis0228,DJ Harper
odis0229,MR Benson
odis0229,RE Koertzen
odis0230,Aleem Dar
odis0230,Asad Rauf
odis0231,BF Bowden
odis0231,SJA Taufel
odis0232,SA Bucknor
odis0232,DJ Harper
odis0233,Asad Rauf
odis0233,RE Koertzen
odis0234,DJ Harper
odis0234,SJA Taufel
odis0235,Aleem Dar
odis0235,MR Benson
odis0236,BF Bowden
odis0236,SJA Taufel
odis0237,MR Benson
odis0237,RE Koertzen
odis0238,Aleem Dar
odis0238,RE Koertzen
odis0239,BF Bowden
odis0239,SA Bucknor
odis0240,DJ Harper
odis0240,SJA Taufel
odis0241,MR Benson
odis0241,RE Koertzen
odis0242,Aleem Dar
odis0242,DJ Harper
odis0243,MR Benson
odis0243,BF Bowden
odis0244,DJ Harper
odis0244,SJA Taufel
odis0245,BF Bowden
odis0245,SA Bucknor
odis0246,SA Bucknor
odis0246,RE Koertzen
odis0247,Aleem Dar
odis0247,SJA Taufel
odis0248,Aleem Dar
odis0248,RE Koertzen
odis0249,BR Doctrove
odis0249,IL Howell
odis0250,BR Doctrove
odis0250,BG Jerling
odis0251,JJ Luck
odis0251,RB Tiffin
odis0252,BR Doctrove
odis0252,BG Jerling
odis0253,SR Modi
odis0253,RB Tiffin
odis0254,SR Modi
odis0254,RB Tiffin
odis0255,SR Modi
odis0255,RB Tiffin
odis0256,Enamul Haque
odis0256,Nadeem Ghauri
odis0257,BR Doctrove
odis0257,IL Howell
odis0258,Enamul Haque
odis0258,SL Shastri
odis0259,Aleem Dar
odis0259,DJ Harper
odis0260,Nadeem Ghauri
odis0260,Nadir Shah
odis0261,Nadir Shah
odis0261,SL Shastri
odis0262,Asad Rauf
odis0262,NJ Llong
odis0263,NJ Llong
odis0263,Zameer Haider
odis0264,Asad Rauf
odis0264,NJ Llong
odis0265,SJ Davis
odis0265,AL Hill
odis0266,SJ Davis
odis0266,AL Hill
odis0267,GAV Baxter
odis0267,SJ Davis
odis0268,IL Howell
odis0268,SJA Taufel
odis0269,Asad Rauf
odis0269,DJ Harper
odis0270,Asad Rauf
odis0270,SJ Davis
odis0271,DJ Harper
odis0271,IL Howell
odis0272,Asad Rauf
odis0272,SJA Taufel
odis0273,LM Engelbrecht
odis0273,A Crafford
odis0274,DJ Harper
odis0274,IL Howell
odis0275,BM White
odis0275,A Crafford
odis0276,SJ Davis
odis0276,IL Howell
odis0277,BF Bowden
odis0277,SL Shastri
odis0278,Asad Rauf
odis0278,SJA Taufel
odis0279,Asad Rauf
odis0279,SJ Davis
odis0280,BF Bowden
odis0280,AM Saheba
odis0281,DB Hair
odis0281,TH Wijewardene
odis0282,DJ Harper
odis0282,IL Howell
odis0283,GAV Baxter
odis0283,DB Hair
odis0284,Shahul Hameed
odis0284,TH Wijewardene
odis0285,RE Koertzen
odis0285,PD Parker
odis0286,Asad Rauf
odis0286,SJ Davis
odis0287,R Dill
odis0287,TH Wijewardene
odis0288,DJ Harper
odis0288,IL Howell
odis0289,SA Bucknor
odis0289,BG Jerling
odis0290,SL Shastri
odis0290,SJA Taufel
odis0291,SA Bucknor
odis0291,RE Koertzen
odis0292,Asad Rauf
odis0292,DJ Harper
odis0293,SL Shastri
odis0293,SJA Taufel
odis0294,BG Jerling
odis0294,RB Tiffin
odis0295,SJ Davis
odis0295,IL Howell
odis0296,AM Saheba
odis0296,SJA Taufel
odis0297,RE Koertzen
odis0297,RB Tiffin
odis0298,Aleem Dar
odis0298,BF Bowden
odis0299,AM Saheba
odis0299,SJA Taufel
odis0300,Aleem Dar
odis0300,AL Hill
odis0301,Aleem Dar
odis0301,GAV Baxter
odis0302,GA Pratapkumar
odis0302,S Ravi
odis0303,BF Bowden
odis0303,SJA Taufel
odis0304,SA Bucknor
odis0304,EAR de Silva
odis0305,IJ Gould
odis0305,BG Jerling
odis0306,DJ Harper
odis0306,IL Howell
odis0307,Asad Rauf
odis0307,RE Koertzen
odis0308,MR Benson
odis0308,AL Hill
odis0309,BF Bowden
odis0309,BG Jerling
odis0310,Aleem Dar
odis0310,SJ Davis
odis0311,BR Doctrove
odis0311,PD Parker
odis0312,SA Bucknor
odis0312,AL Hill
odis0313,IJ Gould
odis0313,SJA Taufel
