key_id,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
psl0001,Dubai,Pakistan Super League,2016-02-04,male,T20,,20,Mohammad Nawaz (3),Dubai International Cricket Stadium
psl0002,Dubai,Pakistan Super League,2016-02-05,male,T20,,20,Mohammad Asghar,Dubai International Cricket Stadium
psl0003,Dubai,Pakistan Super League,2016-02-05,male,T20,,20,Shakib Al Hasan,Dubai International Cricket Stadium
psl0004,Dubai,Pakistan Super League,2016-02-06,male,T20,,20,Tamim Iqbal,Dubai International Cricket Stadium
psl0005,Dubai,Pakistan Super League,2016-02-06,male,T20,,20,Ahmed Shehzad,Dubai International Cricket Stadium
psl0006,Dubai,Pakistan Super League,2016-02-07,male,T20,,20,Mohammad Nawaz (3),Dubai International Cricket Stadium
psl0007,Dubai,Pakistan Super League,2016-02-07,male,T20,,20,Saeed Ajmal,Dubai International Cricket Stadium
psl0008,Dubai,Pakistan Super League,2016-02-08,male,T20,,20,Umar Akmal,Dubai International Cricket Stadium
psl0009,Sharjah,Pakistan Super League,2016-02-10,male,T20,,20,Sharjeel Khan,Sharjah Cricket Stadium
psl0010,Sharjah,Pakistan Super League,2016-02-11,male,T20,,20,GD Elliott,Sharjah Cricket Stadium
psl0011,Sharjah,Pakistan Super League,2016-02-12,male,T20,,20,Tamim Iqbal,Sharjah Cricket Stadium
psl0012,Sharjah,Pakistan Super League,2016-02-12,male,T20,,20,RS Bopara,Sharjah Cricket Stadium
psl0013,Sharjah,Pakistan Super League,2016-02-13,male,T20,,20,CS Delport,Sharjah Cricket Stadium
psl0014,Sharjah,Pakistan Super League,2016-02-13,male,T20,,20,GD Elliott,Sharjah Cricket Stadium
psl0015,Sharjah,Pakistan Super League,2016-02-14,male,T20,,20,Shahid Afridi,Sharjah Cricket Stadium
psl0016,Sharjah,Pakistan Super League,2016-02-14,male,T20,,20,Imran Khalid,Sharjah Cricket Stadium
psl0017,Dubai,Pakistan Super League,2016-02-16,male,T20,,20,Bismillah Khan,Dubai International Cricket Stadium
