key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
psl0001,,wickets,8.0,,,,,Quetta Gladiators
psl0002,,runs,24.0,,,,,Peshawar Zalmi
psl0003,,wickets,7.0,,,,,Karachi Kings
psl0004,,wickets,9.0,,,,,Peshawar Zalmi
psl0005,,wickets,8.0,,,,,Quetta Gladiators
psl0006,,wickets,3.0,,,,,Quetta Gladiators
psl0007,,runs,2.0,,,,,Islamabad United
psl0008,,runs,63.0,,,,,Lahore Qalandars
psl0009,,wickets,8.0,,,,,Islamabad United
psl0010,,wickets,7.0,,,,,Quetta Gladiators
psl0011,,wickets,7.0,,,,,Peshawar Zalmi
psl0012,,runs,27.0,,,,,Karachi Kings
psl0013,,runs,4.0,,,,,Lahore Qalandars
psl0014,,wickets,5.0,,,,,Quetta Gladiators
psl0015,,wickets,8.0,,,,,Peshawar Zalmi
psl0016,,wickets,5.0,,,,,Islamabad United
psl0017,,wickets,2.0,,,,,Quetta Gladiators
psl0018,,wickets,5.0,,,,,Islamabad United
psl0019,,wickets,5.0,,,,,Peshawar Zalmi
psl0020,,runs,1.0,,,,,Quetta Gladiators
psl0021,,wickets,9.0,,,,,Islamabad United
psl0022,,runs,50.0,,,,,Islamabad United
psl0023,,wickets,6.0,,,,,Islamabad United
psl0024,,wickets,7.0,,,D/L,,Islamabad United
psl0025,,wickets,7.0,,,,,Peshawar Zalmi
psl0026,,runs,8.0,,,,,Quetta Gladiators
psl0027,,wickets,7.0,,,,,Quetta Gladiators
psl0028,,wickets,6.0,,,,,Lahore Qalandars
psl0029,,wickets,3.0,,,,,Peshawar Zalmi
psl0030,,wickets,5.0,,,,,Islamabad United
psl0031,,runs,7.0,,,,,Lahore Qalandars
psl0032,,runs,8.0,,,D/L,,Karachi Kings
psl0033,,,,,,,no result,
psl0034,,wickets,5.0,,,,,Islamabad United
psl0035,,wickets,5.0,,,,,Quetta Gladiators
psl0036,,runs,9.0,,,,,Karachi Kings
psl0037,,wickets,1.0,,,,,Lahore Qalandars
psl0038,,wickets,6.0,,,,,Quetta Gladiators
psl0039,,runs,1.0,,,,,Islamabad United
psl0040,,runs,17.0,,,,,Peshawar Zalmi
psl0041,,wickets,2.0,,,,,Peshawar Zalmi
psl0042,,wickets,5.0,,,,,Karachi Kings
psl0043,,wickets,6.0,,,,,Karachi Kings
psl0044,,runs,1.0,,,,,Quetta Gladiators
psl0045,,runs,44.0,,,,,Karachi Kings
psl0046,,runs,24.0,,,,,Peshawar Zalmi
psl0047,,runs,58.0,,,,,Peshawar Zalmi
psl0048,,wickets,7.0,,,,,Multan Sultans
psl0049,,runs,43.0,,,,,Multan Sultans
psl0050,,runs,19.0,,,,,Karachi Kings
psl0051,,wickets,9.0,,,,,Quetta Gladiators
psl0052,,runs,34.0,,,,,Peshawar Zalmi
psl0053,,wickets,5.0,,,,,Karachi Kings
psl0054,,wickets,5.0,,,,,Islamabad United
psl0055,,runs,27.0,,,,,Karachi Kings
psl0056,,wickets,6.0,,,,,Quetta Gladiators
psl0057,,wickets,5.0,,,,,Peshawar Zalmi
psl0058,,,,,Islamabad United,,tie,
psl0059,,wickets,10.0,,,,,Peshawar Zalmi
psl0060,,wickets,9.0,,,,,Multan Sultans
psl0061,,wickets,8.0,,,,,Islamabad United
psl0062,,runs,19.0,,,,,Multan Sultans
psl0063,,wickets,2.0,,,,,Quetta Gladiators
psl0064,,runs,67.0,,,,,Quetta Gladiators
psl0065,,wickets,6.0,,,,,Islamabad United
psl0066,,runs,26.0,,,,,Islamabad United
psl0067,,wickets,6.0,,,,,Lahore Qalandars
psl0068,,wickets,6.0,,,,,Quetta Gladiators
psl0069,,runs,63.0,,,,,Karachi Kings
psl0070,,,,,Lahore Qalandars,,tie,
psl0071,,runs,33.0,,,,,Islamabad United
psl0072,,runs,17.0,,,,,Lahore Qalandars
psl0073,,wickets,6.0,,,,,Islamabad United
psl0074,,runs,44.0,,,,,Peshawar Zalmi
psl0075,,wickets,7.0,,,,,Karachi Kings
psl0076,,wickets,7.0,,,,,Peshawar Zalmi
psl0077,,wickets,8.0,,,,,Islamabad United
psl0078,,runs,1.0,,,,,Peshawar Zalmi
psl0079,,runs,13.0,,,,,Peshawar Zalmi
psl0080,,wickets,3.0,,,,,Islamabad United
psl0081,,wickets,5.0,,,,,Islamabad United
psl0082,,wickets,6.0,,,,,Quetta Gladiators
psl0083,,runs,7.0,,,,,Karachi Kings
psl0084,,runs,22.0,,,,,Lahore Qalandars
psl0085,,wickets,5.0,,,,,Multan Sultans
psl0086,,wickets,7.0,,,,,Peshawar Zalmi
psl0087,,wickets,7.0,,,,,Quetta Gladiators
psl0088,,wickets,8.0,,,,,Quetta Gladiators
psl0089,,runs,44.0,,,,,Peshawar Zalmi
psl0090,,runs,12.0,,,,,Islamabad United
psl0091,,wickets,6.0,,,,,Lahore Qalandars
psl0092,,wickets,7.0,,,,,Islamabad United
psl0093,,wickets,3.0,,,,,Quetta Gladiators
psl0094,,wickets,6.0,,,,,Karachi Kings
psl0095,,wickets,5.0,,,,,Peshawar Zalmi
psl0096,,wickets,6.0,,,,,Multan Sultans
psl0097,,wickets,5.0,,,,,Islamabad United
psl0098,,wickets,8.0,,,,,Lahore Qalandars
psl0099,,wickets,5.0,,,,,Karachi Kings
psl0100,,wickets,7.0,,,,,Peshawar Zalmi
psl0101,,wickets,6.0,,,,,Quetta Gladiators
psl0102,,wickets,4.0,,,,,Peshawar Zalmi
psl0103,,wickets,5.0,,,,,Karachi Kings
psl0104,,wickets,8.0,,,,,Quetta Gladiators
psl0105,,runs,43.0,,,,,Quetta Gladiators
psl0106,,wickets,4.0,,,,,Peshawar Zalmi
psl0107,,runs,49.0,,,,,Islamabad United
psl0108,,runs,1.0,,,,,Karachi Kings
psl0109,,wickets,7.0,,,,,Multan Sultans
psl0110,,runs,61.0,,,,,Peshawar Zalmi
psl0111,,runs,10.0,,,,,Quetta Gladiators
psl0112,,wickets,4.0,,,,,Islamabad United
psl0113,,runs,48.0,,,,,Peshawar Zalmi
psl0114,,wickets,8.0,,,,,Quetta Gladiators
psl0115,,wickets,3.0,,,,,Quetta Gladiators
psl0116,,wickets,5.0,,,,,Multan Sultans
psl0117,,runs,10.0,,,,,Karachi Kings
psl0118,,wickets,8.0,,,,,Islamabad United
psl0119,,wickets,6.0,,,,,Peshawar Zalmi
psl0120,,wickets,1.0,,,,,Islamabad United
psl0121,,wickets,5.0,,,,,Quetta Gladiators
psl0122,,wickets,6.0,,,,,Multan Sultans
psl0123,,wickets,5.0,,,,,Quetta Gladiators
psl0124,,runs,16.0,,,,,Peshawar Zalmi
psl0125,,runs,52.0,,,,,Multan Sultans
psl0126,,runs,30.0,,,,,Multan Sultans
psl0127,,wickets,5.0,,,,,Karachi Kings
psl0128,,wickets,6.0,,,,,Karachi Kings
psl0129,,runs,37.0,,,,,Lahore Qalandars
psl0130,,runs,71.0,,,,,Islamabad United
psl0131,,runs,30.0,,,,,Peshawar Zalmi
psl0132,,,,,,,no result,
psl0133,,wickets,8.0,,,,,Lahore Qalandars
psl0134,,runs,7.0,,,D/L,,Peshawar Zalmi
psl0135,,wickets,8.0,,,,,Lahore Qalandars
psl0136,,wickets,9.0,,,,,Multan Sultans
psl0137,,wickets,5.0,,,,,Lahore Qalandars
psl0138,,wickets,10.0,,,,,Karachi Kings
psl0139,,runs,3.0,,,,,Multan Sultans
psl0140,,wickets,4.0,,,,,Karachi Kings
psl0141,,wickets,5.0,,,,,Quetta Gladiators
psl0142,,wickets,9.0,,,,,Lahore Qalandars
psl0143,,wickets,5.0,,,,,Lahore Qalandars
psl0144,,,,,Karachi Kings,,tie,
psl0145,,runs,25.0,,,,,Lahore Qalandars
psl0146,,wickets,5.0,,,,,Karachi Kings
psl0147,,wickets,7.0,,,,,Karachi Kings
psl0148,,wickets,3.0,,,,,Islamabad United
psl0149,,wickets,4.0,,,,,Lahore Qalandars
psl0150,,wickets,9.0,,,,,Lahore Qalandars
psl0151,,wickets,6.0,,,,,Peshawar Zalmi
psl0152,,wickets,5.0,,,,,Islamabad United
psl0153,,wickets,3.0,,,,,Peshawar Zalmi
