key,player_of_match
psl0001,Mohammad Nawaz (3)
psl0002,Mohammad Asghar
psl0003,Shakib Al Hasan
psl0004,Tamim Iqbal
psl0005,Ahmed Shehzad
psl0006,Mohammad Nawaz (3)
psl0007,Saeed Ajmal
psl0008,Umar Akmal
psl0009,Sharjeel Khan
psl0010,GD Elliott
psl0011,Tamim Iqbal
psl0012,RS Bopara
psl0013,CS Delport
psl0014,GD Elliott
psl0015,Shahid Afridi
psl0016,Imran Khalid
psl0017,Bismillah Khan
psl0018,Mohammad Irfan
psl0019,BJ Hodge
psl0020,Mohammad Nawaz (3)
psl0021,Mohammad Sami
psl0022,Sharjeel Khan
psl0023,DR Smith
psl0024,BJ Haddin
psl0025,EJG Morgan
psl0026,Hassan Khan
psl0027,RR Rossouw
psl0028,JJ Roy
psl0029,Yasir Shah
psl0030,SW Billings
psl0031,Fakhar Zaman
psl0032,Babar Azam
psl0034,Mohammad Sami
psl0035,KP Pietersen
psl0036,Shoaib Malik
psl0037,Umar Akmal
psl0038,Mahmudullah
psl0039,Mohammad Sami
psl0040,Shakib Al Hasan
psl0041,Mohammad Asghar
psl0042,KA Pollard
psl0043,CH Gayle
psl0044,Ahmed Shehzad
psl0045,Imad Wasim
psl0046,Kamran Akmal
psl0047,DJG Sammy
psl0048,KC Sangakkara
psl0049,Imran Tahir
psl0050,CA Ingram
psl0051,Mohammad Nawaz (3)
psl0052,Umaid Asif
psl0053,DR Smith
psl0054,Hussain Talat
psl0055,Shahid Afridi
psl0056,KP Pietersen
psl0057,DJG Sammy
psl0058,Mohammad Sami
psl0059,LA Dawson
psl0060,Sohail Tanvir
psl0061,L Ronchi
psl0062,Sohaib Maqsood
psl0063,Umar Gul
psl0064,SR Watson
psl0065,L Ronchi
psl0066,JP Duminy
psl0067,Shaheen Shah Afridi
psl0068,Sarfraz Ahmed
psl0069,Shahid Afridi
psl0070,Agha Salman
psl0071,L Ronchi
psl0072,Fakhar Zaman
psl0073,JP Duminy
psl0074,Kamran Akmal
psl0075,Usman Shinwari
psl0076,Kamran Akmal
psl0077,L Ronchi
psl0078,Hasan Ali
psl0079,Kamran Akmal
psl0080,L Ronchi
psl0081,Faheem Ashraf
psl0082,Umar Akmal
psl0083,LS Livingstone
psl0084,Haris Rauf
psl0085,Ali Shafiq
psl0086,Hasan Ali
psl0087,SR Watson
psl0088,SR Watson
psl0089,Imam-ul-Haq
psl0090,Mohammad Sami
psl0091,AB de Villiers
psl0092,L Ronchi
psl0093,Sarfraz Ahmed
psl0094,CA Ingram
psl0095,Hasan Ali
psl0096,DT Christian
psl0097,Asif Ali
psl0099,Iftikhar Ahmed
psl0100,KA Pollard
psl0101,DJ Bravo
psl0102,LA Dawson
psl0103,Usman Shinwari
psl0104,SR Watson
psl0105,Ahmed Shehzad
psl0106,Misbah-ul-Haq
psl0107,CS Delport
psl0108,Usman Shinwari
psl0109,Mohammad Abbas
psl0110,Kamran Akmal
psl0111,SR Watson
psl0112,AD Hales
psl0113,Kamran Akmal
psl0114,Mohammad Hasnain
psl0115,Mohammad Hasnain
psl0116,Imran Tahir
psl0117,Babar Azam
psl0118,L Ronchi
psl0119,Kamran Akmal
psl0120,Shadab Khan
psl0121,Azam Khan
psl0122,Sohail Tanvir
