key,toss_winner,toss_decision,decision,winner
psl0001,,,field,Quetta Gladiators
psl0002,,,bat,Peshawar Zalmi
psl0003,,,field,Karachi Kings
psl0004,,,field,Peshawar Zalmi
psl0005,,,field,Quetta Gladiators
psl0006,,,field,Quetta Gladiators
psl0007,,,field,Karachi Kings
psl0008,,,field,Quetta Gladiators
psl0009,,,field,Islamabad United
psl0010,,,field,Quetta Gladiators
psl0011,,,field,Peshawar Zalmi
psl0012,,,field,Lahore Qalandars
psl0013,,,field,Peshawar Zalmi
psl0014,,,bat,Karachi Kings
psl0015,,,bat,Quetta Gladiators
psl0016,,,field,Islamabad United
psl0017,,,field,Quetta Gladiators
psl0018,,,field,Islamabad United
psl0019,,,bat,Karachi Kings
psl0020,,,field,Peshawar Zalmi
psl0021,,,field,Islamabad United
psl0022,,,field,Peshawar Zalmi
psl0023,,,field,Islamabad United
psl0024,,,field,Islamabad United
psl0025,,,field,Peshawar Zalmi
psl0026,,,field,Lahore Qalandars
psl0027,,,field,Quetta Gladiators
psl0028,,,field,Lahore Qalandars
psl0029,,,field,Peshawar Zalmi
psl0030,,,field,Islamabad United
psl0031,,,field,Karachi Kings
psl0032,,,field,Karachi Kings
psl0033,,,field,Quetta Gladiators
psl0034,,,field,Islamabad United
psl0035,,,field,Quetta Gladiators
psl0036,,,field,Peshawar Zalmi
psl0037,,,field,Lahore Qalandars
psl0038,,,field,Quetta Gladiators
psl0039,,,field,Quetta Gladiators
psl0040,,,bat,Peshawar Zalmi
psl0041,,,field,Peshawar Zalmi
psl0042,,,field,Karachi Kings
psl0043,,,field,Karachi Kings
psl0044,,,field,Peshawar Zalmi
psl0045,,,field,Islamabad United
psl0046,,,field,Karachi Kings
psl0047,,,field,Quetta Gladiators
psl0048,,,field,Multan Sultans
psl0049,,,field,Lahore Qalandars
psl0050,,,bat,Karachi Kings
psl0051,,,field,Quetta Gladiators
psl0052,,,field,Islamabad United
psl0053,,,bat,Peshawar Zalmi
psl0054,,,field,Islamabad United
psl0055,,,bat,Karachi Kings
psl0056,,,field,Quetta Gladiators
psl0057,,,field,Peshawar Zalmi
psl0058,,,field,Lahore Qalandars
psl0059,,,bat,Lahore Qalandars
psl0060,,,field,Multan Sultans
psl0061,,,field,Islamabad United
psl0062,,,field,Peshawar Zalmi
psl0063,,,field,Quetta Gladiators
psl0064,,,field,Karachi Kings
psl0065,,,field,Islamabad United
psl0066,,,field,Peshawar Zalmi
psl0067,,,bat,Multan Sultans
psl0068,,,field,Quetta Gladiators
psl0069,,,field,Multan Sultans
psl0070,,,field,Lahore Qalandars
psl0071,,,field,Multan Sultans
psl0072,,,field,Quetta Gladiators
psl0073,,,bat,Quetta Gladiators
psl0074,,,bat,Peshawar Zalmi
psl0075,,,field,Karachi Kings
psl0076,,,bat,Lahore Qalandars
psl0077,,,bat,Karachi Kings
psl0078,,,field,Quetta Gladiators
psl0079,,,field,Karachi Kings
psl0080,,,bat,Peshawar Zalmi
psl0081,,,field,Islamabad United
psl0082,,,field,Quetta Gladiators
psl0083,,,bat,Karachi Kings
psl0084,,,field,Karachi Kings
psl0085,,,field,Multan Sultans
psl0086,,,field,Peshawar Zalmi
psl0087,,,field,Quetta Gladiators
psl0088,,,field,Quetta Gladiators
psl0089,,,field,Karachi Kings
psl0090,,,field,Peshawar Zalmi
psl0091,,,field,Lahore Qalandars
psl0092,,,field,Islamabad United
psl0093,,,field,Quetta Gladiators
psl0094,,,field,Karachi Kings
psl0095,,,field,Peshawar Zalmi
psl0096,,,field,Multan Sultans
psl0097,,,field,Islamabad United
psl0098,,,field,Lahore Qalandars
psl0099,,,field,Karachi Kings
psl0100,,,field,Peshawar Zalmi
psl0101,,,field,Quetta Gladiators
psl0102,,,field,Peshawar Zalmi
psl0103,,,field,Karachi Kings
psl0104,,,field,Quetta Gladiators
psl0105,,,field,Islamabad United
psl0106,,,field,Peshawar Zalmi
psl0107,,,field,Lahore Qalandars
psl0108,,,field,Quetta Gladiators
psl0109,,,field,Multan Sultans
psl0110,,,field,Karachi Kings
psl0111,,,field,Peshawar Zalmi
psl0112,,,bat,Karachi Kings
psl0113,,,field,Islamabad United
psl0114,,,field,Quetta Gladiators
psl0115,,,field,Quetta Gladiators
psl0116,,,field,Multan Sultans
psl0117,,,field,Peshawar Zalmi
psl0118,,,field,Islamabad United
psl0119,,,field,Peshawar Zalmi
psl0120,,,field,Islamabad United
psl0121,,,bat,Karachi Kings
psl0122,,,field,Multan Sultans
psl0123,,,field,Quetta Gladiators
psl0124,,,field,Lahore Qalandars
psl0125,,,field,Karachi Kings
psl0126,,,bat,Multan Sultans
psl0127,,,field,Karachi Kings
psl0128,,,field,Karachi Kings
psl0129,,,field,Quetta Gladiators
psl0130,,,field,Lahore Qalandars
psl0131,,,field,Quetta Gladiators
psl0132,,,field,Karachi Kings
psl0133,,,field,Lahore Qalandars
psl0134,,,field,Peshawar Zalmi
psl0135,,,field,Lahore Qalandars
psl0136,,,field,Multan Sultans
psl0137,,,field,Lahore Qalandars
psl0138,,,field,Karachi Kings
psl0139,,,field,Peshawar Zalmi
psl0140,,,field,Karachi Kings
psl0141,,,bat,Karachi Kings
psl0142,,,field,Lahore Qalandars
psl0143,,,field,Lahore Qalandars
psl0144,,,field,Karachi Kings
psl0145,,,field,Multan Sultans
psl0146,,,bat,Lahore Qalandars
psl0147,,,field,Karachi Kings
psl0148,,,field,Islamabad United
psl0149,,,field,Lahore Qalandars
psl0150,,,field,Lahore Qalandars
psl0151,,,field,Peshawar Zalmi
psl0152,,,field,Islamabad United
psl0153,,,field,Peshawar Zalmi
psl0154,,,field,Multan Sultans
psl0155,,,field,Peshawar Zalmi
psl0156,,,field,Karachi Kings
psl0157,,,field,Lahore Qalandars
psl0158,,,field,Islamabad United
psl0159,,,field,Multan Sultans
psl0160,,,field,Karachi Kings
psl0161,,,field,Lahore Qalandars
psl0162,,,field,Peshawar Zalmi
psl0163,,,field,Karachi Kings
psl0164,,,field,Islamabad United
psl0165,,,field,Quetta Gladiators
psl0166,,,field,Multan Sultans
psl0167,,,bat,Islamabad United
psl0168,,,field,Islamabad United
psl0169,,,field,Peshawar Zalmi
psl0170,,,field,Lahore Qalandars
psl0171,,,field,Quetta Gladiators
psl0172,,,bat,Karachi Kings
psl0173,,,field,Peshawar Zalmi
psl0174,,,field,Lahore Qalandars
psl0175,,,field,Islamabad United
psl0176,,,bat,Karachi Kings
psl0177,,,field,Peshawar Zalmi
psl0178,,,bat,Multan Sultans
psl0179,,,field,Peshawar Zalmi
psl0180,,,field,Peshawar Zalmi
psl0181,,,field,Multan Sultans
psl0182,,,field,Peshawar Zalmi
psl0183,,,field,Quetta Gladiators
psl0184,,,field,Multan Sultans
psl0185,,,field,Lahore Qalandars
psl0186,,,field,Islamabad United
psl0187,,,field,Quetta Gladiators
psl0188,,,field,Islamabad United
psl0189,,,field,Peshawar Zalmi
psl0190,,,field,Quetta Gladiators
psl0191,,,field,Karachi Kings
psl0192,,,field,Peshawar Zalmi
psl0193,,,field,Islamabad United
psl0194,,,bat,Islamabad United
psl0195,,,field,Quetta Gladiators
psl0196,,,field,Peshawar Zalmi
psl0197,,,field,Multan Sultans
psl0198,,,field,Quetta Gladiators
psl0199,,,field,Lahore Qalandars
psl0200,,,field,Karachi Kings
psl0201,,,field,Karachi Kings
psl0202,,,bat,Peshawar Zalmi
psl0203,,,bat,Karachi Kings
psl0204,,,bat,Peshawar Zalmi
psl0205,,,bat,Karachi Kings
psl0206,,,bat,Multan Sultans
psl0207,,,bat,Lahore Qalandars
psl0208,,,bat,Islamabad United
psl0209,,,bat,Quetta Gladiators
psl0210,,,bat,Peshawar Zalmi
psl0211,,,field,Lahore Qalandars
psl0212,,,bat,Peshawar Zalmi
psl0213,,,bat,Lahore Qalandars
psl0214,,,bat,Lahore Qalandars
psl0215,,,field,Multan Sultans
psl0216,,,field,Karachi Kings
psl0217,,,field,Multan Sultans
psl0218,,,field,Islamabad United
psl0219,,,field,Peshawar Zalmi
psl0220,,,field,Karachi Kings
psl0221,,,field,Lahore Qalandars
psl0222,,,field,Islamabad United
