key_id,bowler,outcome
t20s0001,,
t20s0002,,
t20s0003,,
t20s0004,,
t20s0005,,
t20s0006,NJ Astle,miss
t20s0006,NJ Astle,miss
t20s0006,DR Smith,miss
t20s0006,DR Smith,miss
t20s0006,JS Patel,miss
t20s0006,JS Patel,miss
t20s0006,CH Gayle,miss
t20s0006,CH Gayle,miss
t20s0006,CL Cairns,miss
t20s0006,CL Cairns,miss
t20s0006,JE Taylor,miss
t20s0006,JE Taylor,miss
t20s0006,SE Bond,hit
t20s0006,SE Bond,hit
t20s0006,IDR Bradshaw,miss
t20s0006,IDR Bradshaw,miss
t20s0006,SB Styris,hit
t20s0007,,
t20s0008,,
t20s0009,,
t20s0010,,
t20s0011,,
t20s0012,,
t20s0013,,
t20s0014,,
t20s0015,,
t20s0016,,
t20s0017,,
t20s0018,,
t20s0019,,
t20s0020,,
t20s0021,,
t20s0022,,
t20s0023,,
t20s0024,,
t20s0025,V Sehwag,hit
t20s0025,Yasir Arafat,miss
t20s0025,Harbhajan Singh,hit
t20s0025,Umar Gul,miss
t20s0025,RV Uthappa,hit
t20s0025,Shahid Afridi,miss
t20s0026,,
t20s0027,,
t20s0028,,
t20s0029,,
t20s0030,,
t20s0031,,
t20s0032,,
t20s0033,,
t20s0034,,
t20s0035,,
t20s0036,,
t20s0037,,
t20s0038,,
t20s0039,,
t20s0040,,
t20s0041,,
t20s0042,,
t20s0043,,
t20s0044,,
t20s0045,,
t20s0046,,
t20s0047,,
t20s0048,,
t20s0049,,
t20s0050,,
t20s0051,,
t20s0052,,
t20s0053,,
t20s0054,,
t20s0055,,
t20s0056,,
t20s0057,,
t20s0058,,
t20s0059,,
t20s0060,,
t20s0061,,
t20s0062,,
t20s0063,,
t20s0064,,
t20s0065,,
t20s0066,,
t20s0067,,
t20s0068,,
t20s0069,,
t20s0070,,
t20s0071,,
t20s0072,,
t20s0073,,
t20s0074,,
t20s0075,,
t20s0076,,
t20s0077,,
t20s0078,,
t20s0079,,
t20s0080,,
t20s0081,,
t20s0082,,
t20s0083,,
t20s0084,,
t20s0085,,
t20s0086,,
t20s0087,,
t20s0088,,
t20s0089,,
t20s0090,,
t20s0091,,
t20s0092,,
t20s0093,,
t20s0094,,
t20s0095,,
t20s0096,,
t20s0097,,
t20s0098,,
t20s0099,,
t20s0100,,
t20s0101,,
t20s0102,,
t20s0103,,
t20s0104,,
t20s0105,,
t20s0106,,
t20s0107,,
t20s0108,,
t20s0109,,
t20s0110,,
t20s0111,,
t20s0112,,
t20s0113,,
t20s0114,,
t20s0115,,
t20s0116,,
t20s0117,,
t20s0118,,
t20s0119,,
t20s0120,,
t20s0121,,
t20s0122,,
t20s0123,,
t20s0124,,
t20s0125,,
t20s0126,,
t20s0127,,
t20s0128,,
t20s0129,,
t20s0130,,
t20s0131,,
t20s0132,,
t20s0133,,
t20s0134,,
t20s0135,,
t20s0136,,
t20s0137,,
t20s0138,,
t20s0139,,
t20s0140,,
t20s0141,,
t20s0142,,
t20s0143,,
t20s0144,,
t20s0145,,
t20s0146,,
t20s0147,,
t20s0148,,
t20s0149,,
t20s0150,,
t20s0151,,
t20s0152,,
t20s0153,,
t20s0154,,
t20s0155,,
t20s0156,,
t20s0157,,
t20s0158,,
t20s0159,,
t20s0160,,
t20s0161,,
t20s0162,,
t20s0163,,
t20s0164,,
t20s0165,,
t20s0166,,
t20s0167,,
t20s0168,,
t20s0169,,
t20s0170,,
t20s0171,,
t20s0172,,
t20s0173,,
t20s0174,,
t20s0175,,
t20s0176,,
t20s0177,,
t20s0178,,
t20s0179,,
t20s0180,,
t20s0181,,
t20s0182,,
t20s0183,,
t20s0184,,
t20s0185,,
t20s0186,,
t20s0187,,
t20s0188,,
t20s0189,,
t20s0190,,
t20s0191,,
t20s0192,,
t20s0193,,
t20s0194,,
t20s0195,,
t20s0196,,
t20s0197,,
t20s0198,,
t20s0199,,
t20s0200,,
t20s0201,,
t20s0202,,
t20s0203,,
t20s0204,,
t20s0205,,
t20s0206,,
t20s0207,,
t20s0208,,
t20s0209,,
t20s0210,,
t20s0211,,
t20s0212,,
t20s0213,,
t20s0214,,
t20s0215,,
t20s0216,,
t20s0217,,
t20s0218,,
t20s0219,,
t20s0220,,
t20s0221,,
t20s0222,,
t20s0223,,
t20s0224,,
t20s0225,,
t20s0226,,
t20s0227,,
t20s0228,,
t20s0229,,
t20s0230,,
t20s0231,,
