key_id,city,date,gender,match_type,match_type_number,neutral_venue,overs,player_of_match,venue
t20s0001,Harare,2019-05-05,female,T20,623.0,,20,SA Wittmann,Takashinga Sports Club
t20s0002,Auckland,2005-02-17,male,T20,,,20,RT Ponting,Eden Park
t20s0003,Southampton,2005-06-13,male,T20,,,20,KP Pietersen,The Rose Bowl
t20s0004,Johannesburg,2005-10-21,male,T20,,,20,JS Patel,New Wanderers Stadium
t20s0005,Brisbane,2006-01-09,male,T20,,,20,DR Martyn,"Brisbane Cricket Ground, Woolloongabba"
t20s0006,Auckland,2006-02-16,male,T20,,,20,DR Smith,Eden Park
t20s0007,Johannesburg,2006-02-24,male,T20,,,20,GC Smith,New Wanderers Stadium
t20s0008,Southampton,2006-06-15,male,T20,,,20,ST Jayasuriya,The Rose Bowl
t20s0009,Bristol,2006-08-28,male,T20,,,20,Shahid Afridi,County Ground
t20s0010,Johannesburg,2006-12-01,male,T20,,,20,KD Karthik,New Wanderers Stadium
t20s0011,Wellington,2006-12-22,male,T20,,,20,ST Jayasuriya,Westpac Stadium
t20s0012,Auckland,2006-12-26,male,T20,,,20,JEC Franklin,Eden Park
t20s0013,,2007-01-09,male,T20,,,20,CL White,Sydney Cricket Ground
t20s0014,London,2007-06-28,male,T20,,,20,PD Collingwood,Kennington Oval
t20s0015,London,2007-06-29,male,T20,,,20,OA Shah,Kennington Oval
t20s0016,Nairobi,2007-09-01,male,T20,,,20,Nazimuddin,Gymkhana Club Ground
t20s0017,Nairobi,2007-09-02,male,T20,,1.0,20,Imran Nazir,Gymkhana Club Ground
t20s0018,Nairobi,2007-09-04,male,T20,,,20,Younis Khan,Gymkhana Club Ground
t20s0019,Johannesburg,2007-09-11,male,T20,,,20,CH Gayle,New Wanderers Stadium
t20s0020,Cape Town,2007-09-12,male,T20,,1.0,20,BRM Taylor,Newlands
t20s0021,Durban,2007-09-12,male,T20,,1.0,20,Shahid Afridi,Kingsmead
t20s0022,Durban,2007-09-12,male,T20,,1.0,20,MR Gillespie,Kingsmead
t20s0023,Cape Town,2007-09-13,male,T20,,1.0,20,KP Pietersen,Newlands
t20s0024,Johannesburg,2007-09-13,male,T20,,1.0,20,Mohammad Ashraful,New Wanderers Stadium
t20s0025,Durban,2007-09-14,male,T20,,1.0,20,Mohammad Asif,Kingsmead
t20s0026,Cape Town,2007-09-14,male,T20,,1.0,20,NW Bracken,Newlands
t20s0027,Johannesburg,2007-09-14,male,T20,,1.0,20,ST Jayasuriya,New Wanderers Stadium
t20s0028,Cape Town,2007-09-15,male,T20,,,20,M Morkel,Newlands
t20s0029,Johannesburg,2007-09-15,male,T20,,1.0,20,ST Jayasuriya,New Wanderers Stadium
t20s0030,Cape Town,2007-09-16,male,T20,,,20,JA Morkel,Newlands
t20s0031,Cape Town,2007-09-16,male,T20,,1.0,20,B Lee,Newlands
t20s0032,Johannesburg,2007-09-16,male,T20,,1.0,20,DL Vettori,New Wanderers Stadium
t20s0033,Johannesburg,2007-09-17,male,T20,,1.0,20,Younis Khan,New Wanderers Stadium
t20s0034,Johannesburg,2007-09-18,male,T20,,1.0,20,CRD Fernando,New Wanderers Stadium
t20s0035,Johannesburg,2007-09-18,male,T20,,1.0,20,Misbah-ul-Haq,New Wanderers Stadium
t20s0036,Durban,2007-09-18,male,T20,,1.0,20,CD McMillan,Kingsmead
t20s0037,Durban,2007-09-19,male,T20,,1.0,20,Yuvraj Singh,Kingsmead
t20s0038,Durban,2007-09-19,male,T20,,,20,JM Kemp,Kingsmead
t20s0039,Durban,2007-09-20,male,T20,,,20,RG Sharma,Kingsmead
t20s0040,Cape Town,2007-09-20,male,T20,,1.0,20,Junaid Siddique,Newlands
t20s0041,Cape Town,2007-09-20,male,T20,,1.0,20,SR Clark,Newlands
t20s0042,Durban,2007-09-22,male,T20,,1.0,20,Yuvraj Singh,Kingsmead
t20s0043,Cape Town,2007-09-22,male,T20,,1.0,20,Umar Gul,Newlands
t20s0044,Johannesburg,2007-09-24,male,T20,,1.0,20,IK Pathan,New Wanderers Stadium
t20s0045,Mumbai,2007-10-20,male,T20,,,20,G Gambhir,Brabourne Stadium
t20s0046,Johannesburg,2007-11-23,male,T20,,,20,AB de Villiers,New Wanderers Stadium
t20s0047,Perth,2007-12-11,male,T20,,,20,A Symonds,Western Australia Cricket Association Ground
t20s0048,Port Elizabeth,2007-12-16,male,T20,,,20,JE Taylor,St George's Park
