key,data_version,created,revision
t20s0001,0.9,2019-10-30,1
t20s0002,0.91,2013-02-22,1
t20s0003,0.91,2013-02-22,1
t20s0004,0.91,2013-02-22,3
t20s0005,0.91,2013-02-20,1
t20s0006,0.91,2013-02-20,2
t20s0007,0.91,2013-02-20,1
t20s0008,0.91,2013-02-20,1
t20s0009,0.91,2013-02-20,1
t20s0010,0.91,2013-02-20,2
t20s0011,0.91,2013-02-20,1
t20s0012,0.91,2013-02-20,2
t20s0013,0.91,2013-02-18,1
t20s0014,0.91,2013-02-18,1
t20s0015,0.91,2013-02-18,1
t20s0016,0.91,2013-02-18,1
t20s0017,0.91,2013-02-18,1
t20s0018,0.91,2013-02-18,1
t20s0019,0.91,2013-02-18,1
t20s0020,0.91,2013-02-18,1
t20s0021,0.91,2013-02-18,1
t20s0022,0.91,2013-02-18,1
t20s0023,0.91,2013-02-18,1
t20s0024,0.91,2013-02-18,1
t20s0025,0.91,2013-02-19,1
t20s0026,0.91,2013-02-19,1
t20s0027,0.91,2013-02-19,1
t20s0028,0.91,2013-02-19,1
t20s0029,0.91,2013-02-19,1
t20s0030,0.91,2013-02-19,1
t20s0031,0.91,2013-02-19,1
t20s0032,0.91,2013-02-19,1
t20s0033,0.91,2013-02-19,1
t20s0034,0.91,2013-02-19,1
t20s0035,0.91,2013-02-19,1
t20s0036,0.91,2013-02-19,1
t20s0037,0.91,2013-02-19,1
t20s0038,0.91,2013-02-19,1
t20s0039,0.91,2013-02-19,1
t20s0040,0.91,2013-02-19,2
t20s0041,0.91,2013-02-19,2
t20s0042,0.91,2013-02-19,1
t20s0043,0.91,2013-02-19,1
t20s0044,0.91,2013-02-19,1
t20s0045,0.91,2013-02-19,1
t20s0046,0.91,2013-02-19,1
t20s0047,0.91,2013-02-19,1
t20s0048,0.91,2013-02-19,1
t20s0049,0.91,2012-12-30,2
t20s0050,0.91,2012-12-30,2
t20s0051,0.91,2012-12-30,2
t20s0052,0.91,2012-12-30,2
t20s0053,0.91,2012-12-30,3
t20s0054,0.91,2012-12-30,2
t20s0055,0.91,2012-12-30,2
t20s0056,0.91,2012-12-30,2
t20s0057,0.91,2012-12-30,2
t20s0058,0.91,2012-12-30,2
t20s0059,0.91,2012-12-30,2
t20s0060,0.91,2012-12-30,2
t20s0061,0.91,2012-12-30,2
t20s0062,0.91,2012-07-16,3
t20s0063,0.91,2012-12-30,2
t20s0064,0.91,2012-07-16,2
t20s0065,0.91,2012-07-16,2
t20s0066,0.91,2012-07-16,2
t20s0067,0.91,2012-07-16,2
t20s0068,0.91,2012-07-16,2
t20s0069,0.91,2012-07-16,2
t20s0070,0.91,2012-07-16,2
t20s0071,0.91,2012-07-16,2
t20s0072,0.91,2012-07-16,2
t20s0073,0.91,2012-07-15,2
t20s0074,0.91,2009-08-15,2
t20s0075,0.91,2009-08-15,2
t20s0076,0.91,2009-08-15,2
t20s0077,0.91,2009-08-15,2
t20s0078,0.91,2009-08-15,2
t20s0079,0.91,2009-08-15,2
t20s0080,0.91,2009-08-15,2
t20s0081,0.91,2009-08-15,2
t20s0082,0.91,2009-08-15,2
t20s0083,0.91,2009-08-15,2
t20s0084,0.91,2009-08-15,2
t20s0085,0.91,2009-08-15,2
t20s0086,0.91,2009-08-15,2
t20s0087,0.91,2009-08-15,3
t20s0088,0.91,2009-08-15,2
t20s0089,0.91,2009-08-15,2
t20s0090,0.91,2009-08-15,2
t20s0091,0.91,2009-08-15,2
t20s0092,0.91,2009-08-15,2
t20s0093,0.91,2009-08-15,2
t20s0094,0.91,2009-08-15,2
t20s0095,0.91,2009-08-15,2
t20s0096,0.91,2009-08-15,2
t20s0097,0.91,2009-08-15,2
t20s0098,0.91,2009-08-15,2
t20s0099,0.91,2014-05-31,3
