key,team
t20s0001,Kenya
t20s0001,Namibia
t20s0002,New Zealand
t20s0002,Australia
t20s0003,England
t20s0003,Australia
t20s0004,South Africa
t20s0004,New Zealand
t20s0005,Australia
t20s0005,South Africa
t20s0006,New Zealand
t20s0006,West Indies
t20s0007,South Africa
t20s0007,Australia
t20s0008,England
t20s0008,Sri Lanka
t20s0009,England
t20s0009,Pakistan
t20s0010,South Africa
t20s0010,India
t20s0011,New Zealand
t20s0011,Sri Lanka
t20s0012,New Zealand
t20s0012,Sri Lanka
t20s0013,Australia
t20s0013,England
t20s0014,England
t20s0014,West Indies
t20s0015,England
t20s0015,West Indies
t20s0016,Kenya
t20s0016,Bangladesh
t20s0017,Bangladesh
t20s0017,Pakistan
t20s0018,Kenya
t20s0018,Pakistan
t20s0019,South Africa
t20s0019,West Indies
t20s0020,Australia
t20s0020,Zimbabwe
t20s0021,Pakistan
t20s0021,Scotland
t20s0022,Kenya
t20s0022,New Zealand
t20s0023,England
t20s0023,Zimbabwe
t20s0024,Bangladesh
t20s0024,West Indies
t20s0025,India
t20s0025,Pakistan
t20s0026,Australia
t20s0026,England
t20s0027,Kenya
t20s0027,Sri Lanka
t20s0028,South Africa
t20s0028,Bangladesh
t20s0029,New Zealand
t20s0029,Sri Lanka
t20s0030,South Africa
t20s0030,England
t20s0031,Australia
t20s0031,Bangladesh
t20s0032,India
t20s0032,New Zealand
t20s0033,Pakistan
t20s0033,Sri Lanka
t20s0034,Bangladesh
t20s0034,Sri Lanka
t20s0035,Australia
t20s0035,Pakistan
t20s0036,England
t20s0036,New Zealand
t20s0037,England
t20s0037,India
t20s0038,South Africa
t20s0038,New Zealand
t20s0039,South Africa
t20s0039,India
t20s0040,Bangladesh
t20s0040,Pakistan
t20s0041,Australia
t20s0041,Sri Lanka
t20s0042,Australia
t20s0042,India
t20s0043,New Zealand
t20s0043,Pakistan
t20s0044,India
t20s0044,Pakistan
t20s0045,India
t20s0045,Australia
t20s0046,South Africa
t20s0046,New Zealand
t20s0047,Australia
t20s0047,New Zealand
t20s0048,South Africa
t20s0048,West Indies
t20s0049,South Africa
t20s0049,West Indies
t20s0050,Australia
t20s0050,India
t20s0051,New Zealand
t20s0051,England
t20s0052,New Zealand
t20s0052,England
t20s0053,Pakistan
t20s0053,Bangladesh
t20s0054,England
t20s0054,New Zealand
t20s0055,West Indies
t20s0055,Australia
t20s0056,Bermuda
t20s0056,Scotland
t20s0057,Netherlands
t20s0057,Scotland
t20s0058,Ireland
t20s0058,Kenya
t20s0059,Pakistan
t20s0059,Sri Lanka
t20s0060,Pakistan
t20s0060,Sri Lanka
t20s0061,South Africa
t20s0061,Bangladesh
t20s0062,New Zealand
t20s0062,West Indies
t20s0063,New Zealand
t20s0063,West Indies
t20s0064,Australia
t20s0064,South Africa
t20s0065,Australia
t20s0065,South Africa
t20s0066,Sri Lanka
t20s0066,India
t20s0067,Australia
t20s0067,New Zealand
t20s0068,New Zealand
t20s0068,India
t20s0069,New Zealand
t20s0069,India
t20s0070,West Indies
t20s0070,England
t20s0071,South Africa
t20s0071,Australia
t20s0072,South Africa
t20s0072,Australia
t20s0073,Australia
t20s0073,Pakistan
t20s0074,England
t20s0074,Netherlands
t20s0075,Bangladesh
t20s0075,India
t20s0076,Australia
t20s0076,West Indies
t20s0077,New Zealand
t20s0077,Scotland
t20s0078,England
t20s0078,Pakistan
t20s0079,Scotland
t20s0079,South Africa
t20s0080,Australia
t20s0080,Sri Lanka
t20s0081,Bangladesh
