key,date
wbb0001,2015-12-18
wbb0002,2015-12-19
wbb0003,2015-12-19
wbb0004,2015-12-26
wbb0005,2015-12-27
wbb0006,2015-12-31
wbb0007,2016-01-15
wbb0008,2016-01-17
wbb0009,2016-01-21
wbb0010,2016-01-22
wbb0011,2016-12-10
wbb0012,2016-12-11
wbb0013,2016-12-11
wbb0014,2016-12-13
wbb0015,2016-12-17
wbb0016,2016-12-17
wbb0017,2016-12-17
wbb0018,2016-12-17
wbb0019,2016-12-18
wbb0020,2016-12-18
wbb0021,2016-12-26
wbb0022,2016-12-27
wbb0023,2016-12-28
wbb0024,2016-12-29
wbb0025,2016-12-31
wbb0026,2017-01-01
wbb0027,2017-01-02
wbb0028,2017-01-02
wbb0029,2017-01-03
wbb0030,2017-01-04
wbb0031,2017-01-05
wbb0032,2017-01-07
wbb0033,2017-01-08
wbb0034,2017-01-09
wbb0035,2017-01-09
wbb0036,2017-01-10
wbb0037,2017-01-13
wbb0038,2017-01-13
wbb0039,2017-01-14
wbb0040,2017-01-14
wbb0041,2017-01-14
wbb0042,2017-01-15
wbb0043,2017-01-16
wbb0044,2017-01-20
wbb0045,2017-01-20
wbb0046,2017-01-20
wbb0047,2017-01-20
wbb0048,2017-01-21
wbb0049,2017-01-21
wbb0050,2017-01-24
wbb0051,2017-01-25
wbb0052,2017-01-28
wbb0053,2017-12-09
wbb0054,2017-12-09
wbb0055,2017-12-09
wbb0056,2017-12-10
wbb0057,2017-12-10
wbb0058,2017-12-12
wbb0059,2017-12-12
wbb0060,2017-12-15
wbb0061,2017-12-16
wbb0062,2017-12-17
wbb0063,2017-12-17
wbb0064,2017-12-22
wbb0065,2017-12-23
wbb0066,2017-12-26
wbb0067,2017-12-27
wbb0068,2017-12-29
wbb0069,2017-12-30
wbb0070,2017-12-31
wbb0071,2017-12-31
wbb0072,2018-01-02
wbb0073,2018-01-05
wbb0074,2018-01-06
wbb0075,2018-01-07
wbb0076,2018-01-08
wbb0077,2018-01-08
wbb0078,2018-01-09
wbb0079,2018-01-12
wbb0080,2018-01-13
wbb0081,2018-01-13
wbb0082,2018-01-13
wbb0083,2018-01-14
wbb0084,2018-01-15
wbb0085,2018-01-19
wbb0086,2018-01-21
wbb0087,2018-01-21
wbb0088,2018-01-24
wbb0089,2018-01-27
wbb0090,2018-01-27
wbb0091,2018-01-27
wbb0092,2018-01-27
wbb0093,2018-01-28
wbb0094,2018-01-28
wbb0095,2018-01-28
wbb0096,2018-01-28
wbb0097,2018-02-01
wbb0098,2018-02-02
wbb0099,2018-02-04
wbb0100,2018-12-01
wbb0101,2018-12-01
wbb0102,2018-12-02
wbb0103,2018-12-02
wbb0104,2018-12-07
wbb0105,2018-12-08
wbb0106,2018-12-08
wbb0107,2018-12-08
wbb0108,2018-12-08
wbb0109,2018-12-09
wbb0110,2018-12-09
wbb0111,2018-12-09
wbb0112,2018-12-15
wbb0113,2018-12-15
wbb0114,2018-12-15
wbb0115,2018-12-16
wbb0116,2018-12-16
wbb0117,2018-12-16
wbb0118,2018-12-16
wbb0119,2018-12-18
wbb0120,2018-12-19
wbb0121,2018-12-21
wbb0122,2018-12-21
wbb0123,2018-12-22
wbb0124,2018-12-22
wbb0125,2018-12-23
wbb0126,2018-12-23
wbb0127,2018-12-23
wbb0128,2018-12-24
wbb0129,2018-12-26
wbb0130,2018-12-27
wbb0131,2018-12-28
wbb0132,2018-12-29
wbb0133,2018-12-29
wbb0134,2018-12-30
wbb0135,2018-12-30
wbb0136,2018-12-31
wbb0137,2018-12-31
wbb0138,2019-01-01
wbb0139,2019-01-02
wbb0140,2019-01-03
