key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
wbb0001,Sydney,Women's Big Bash League,2015-12-18,female,T20,,20,MM Lanning,Drummoyne Oval
wbb0002,Sydney,Women's Big Bash League,2015-12-19,female,T20,,20,MM Lanning,Drummoyne Oval
wbb0003,Brisbane,Women's Big Bash League,2015-12-19,female,T20,,20,JL Jonassen,"Brisbane Cricket Ground, Woolloongabba"
wbb0004,Perth,Women's Big Bash League,2015-12-26,female,T20,,20,CM Edwards,W.A.C.A. Ground
wbb0005,Perth,Women's Big Bash League,2015-12-27,female,T20,,20,EJ Villani,W.A.C.A. Ground
wbb0006,,Women's Big Bash League,2015-12-31,female,T20,,20,ML Schutt,Adelaide Oval
wbb0007,Sydney,Women's Big Bash League,2016-01-15,female,T20,,20,M Kapp,Waverley Oval
wbb0008,,Women's Big Bash League,2016-01-17,female,T20,,20,CM Edwards,Adelaide Oval No. 2
wbb0009,,Women's Big Bash League,2016-01-21,female,T20,,20,AJ Blackwell,Adelaide Oval
wbb0010,,Women's Big Bash League,2016-01-22,female,T20,,20,LC Sthalekar,Melbourne Cricket Ground
wbb0011,Sydney,Women's Big Bash League,2016-12-10,female,T20,,20,SFM Devine,North Sydney Oval
wbb0012,Sydney,Women's Big Bash League,2016-12-11,female,T20,,20,EJ Villani,North Sydney Oval
wbb0013,Sydney,Women's Big Bash League,2016-12-11,female,T20,,20,S Molineux,North Sydney Oval No.2
wbb0014,Albury,Women's Big Bash League,2016-12-13,female,T20,,20,H Kaur,Lavington Sports Oval
wbb0015,Perth,Women's Big Bash League,2016-12-17,female,T20,,20,NE Bolton,W.A.C.A. Ground
wbb0016,Sydney,Women's Big Bash League,2016-12-17,female,T20,,20,SFM Devine,Howell Oval
wbb0017,Melbourne,Women's Big Bash League,2016-12-17,female,T20,,20,MM Lanning,Casey Fields No. 4
wbb0018,Bendigo,Women's Big Bash League,2016-12-17,female,T20,,20,AE Satterthwaite,Queen Elizabeth II Oval
wbb0019,Melbourne,Women's Big Bash League,2016-12-18,female,T20,,20,D Hazell,Casey Fields No. 4
wbb0020,Bendigo,Women's Big Bash League,2016-12-18,female,T20,,20,AE Satterthwaite,Queen Elizabeth II Oval
wbb0021,Brisbane,Women's Big Bash League,2016-12-26,female,T20,,20,MM Lanning,Allan Border Field
wbb0022,Brisbane,Women's Big Bash League,2016-12-27,female,T20,,20,BL Mooney,Allan Border Field
wbb0023,,Women's Big Bash League,2016-12-28,female,T20,,20,AJ Healy,Sydney Showground Stadium
wbb0024,Sydney,Women's Big Bash League,2016-12-29,female,T20,,20,SE Aley,Hurstville Oval
wbb0025,,Women's Big Bash League,2016-12-31,female,T20,,20,KH Brunt,Adelaide Oval
wbb0026,,Women's Big Bash League,2017-01-01,female,T20,,20,RH Priest,Melbourne Cricket Ground
wbb0027,Sydney,Women's Big Bash League,2017-01-02,female,T20,,20,SL Bates,Blacktown International Sportspark
wbb0028,,Women's Big Bash League,2017-01-02,female,T20,,20,AJ Healy,Adelaide Oval
wbb0029,,Women's Big Bash League,2017-01-03,female,T20,,20,EA Perry,Adelaide Oval
wbb0030,Melbourne,Women's Big Bash League,2017-01-04,female,T20,,20,GM Harris,Camberwell Sports Ground
wbb0031,Launceston,Women's Big Bash League,2017-01-05,female,T20,,20,HC Knight,Aurora Stadium
wbb0032,Melbourne,Women's Big Bash League,2017-01-07,female,T20,,20,DN Wyatt,Docklands Stadium
wbb0033,Hobart,Women's Big Bash League,2017-01-08,female,T20,,20,BL Mooney,Bellerive Oval
wbb0034,,Women's Big Bash League,2017-01-09,female,T20,,20,AJ Healy,Sydney Cricket Ground
wbb0035,Hobart,Women's Big Bash League,2017-01-09,female,T20,,20,HK Matthews,Bellerive Oval
wbb0036,,Women's Big Bash League,2017-01-10,female,T20,,20,KM Beams,Melbourne Cricket Ground
wbb0037,Sydney,Women's Big Bash League,2017-01-13,female,T20,,20,EA Perry,North Sydney Oval
wbb0038,Perth,Women's Big Bash League,2017-01-13,female,T20,,20,KM Beams,Lilac Hill Park
wbb0039,,Women's Big Bash League,2017-01-14,female,T20,,20,SR Taylor,Sydney Cricket Ground
wbb0040,Brisbane,Women's Big Bash League,2017-01-14,female,T20,,20,JL Barsby,Allan Border Field
wbb0041,Perth,Women's Big Bash League,2017-01-14,female,T20,,20,H Graham,W.A.C.A. Ground
wbb0042,Perth,Women's Big Bash League,2017-01-15,female,T20,,20,KH Brunt,Lilac Hill Park
wbb0043,Hobart,Women's Big Bash League,2017-01-16,female,T20,,20,AE Satterthwaite,Bellerive Oval
wbb0044,Hobart,Women's Big Bash League,2017-01-20,female,T20,,20,EJ Inglis,Bellerive Oval
wbb0045,Sydney,Women's Big Bash League,2017-01-20,female,T20,,20,M Brown,North Sydney Oval
wbb0046,Perth,Women's Big Bash League,2017-01-20,female,T20,,20,EJ Villani,Lilac Hill Park
wbb0047,Brisbane,Women's Big Bash League,2017-01-20,female,T20,,20,BL Mooney,"Brisbane Cricket Ground, Woolloongabba"
wbb0048,Hobart,Women's Big Bash League,2017-01-21,female,T20,,20,MM Lanning,Bellerive Oval
wbb0049,Sydney,Women's Big Bash League,2017-01-21,female,T20,,20,AJ Healy,North Sydney Oval
wbb0050,Perth,Women's Big Bash League,2017-01-24,female,T20,,20,EL King,W.A.C.A. Ground
wbb0051,Brisbane,Women's Big Bash League,2017-01-25,female,T20,,20,AJ Healy,"Brisbane Cricket Ground, Woolloongabba"
wbb0052,Perth,Women's Big Bash League,2017-01-28,female,T20,,20,SE Aley,W.A.C.A. Ground
wbb0053,Sydney,Women's Big Bash League,2017-12-09,female,T20,,20,A Gardner,North Sydney Oval
wbb0054,Adelaide,Women's Big Bash League,2017-12-09,female,T20,,20,SFM Devine,Gliderol Stadium
wbb0055,Sydney,Women's Big Bash League,2017-12-09,female,T20,,20,,North Sydney Oval
wbb0056,Sydney,Women's Big Bash League,2017-12-10,female,T20,,20,AJ Healy,North Sydney Oval
wbb0057,Sydney,Women's Big Bash League,2017-12-10,female,T20,,20,NR Sciver,North Sydney Oval
wbb0058,Albury,Women's Big Bash League,2017-12-12,female,T20,,20,RL Haynes,Lavington Sports Oval
wbb0059,Wollongong,Women's Big Bash League,2017-12-12,female,T20,,20,EJ Villani,North Dalton Park
wbb0060,Brisbane,Women's Big Bash League,2017-12-15,female,T20,,20,DJS Dottin,Allan Border Field
wbb0061,Adelaide,Women's Big Bash League,2017-12-16,female,T20,,20,TM McGrath,Gliderol Stadium
wbb0062,Adelaide,Women's Big Bash League,2017-12-17,female,T20,,20,AE Satterthwaite,Gliderol Stadium
wbb0063,Hobart,Women's Big Bash League,2017-12-17,female,T20,,20,D van Niekerk,Bellerive Oval
wbb0064,Melbourne,Women's Big Bash League,2017-12-22,female,T20,,20,AE Satterthwaite,Camberwell Sports Ground
wbb0065,Melbourne,Women's Big Bash League,2017-12-23,female,T20,,20,S Molineux,Docklands Stadium
wbb0066,Perth,Women's Big Bash League,2017-12-26,female,T20,,20,NE Bolton,W.A.C.A. Ground
wbb0067,Perth,Women's Big Bash League,2017-12-27,female,T20,,20,EJ Villani,W.A.C.A. Ground
wbb0068,,Women's Big Bash League,2017-12-29,female,T20,,20,BL Mooney,Adelaide Oval
wbb0069,Perth,Women's Big Bash League,2017-12-30,female,T20,,20,NE Bolton,Lilac Hill Park
wbb0070,,Women's Big Bash League,2017-12-31,female,T20,,20,BL Mooney,Adelaide Oval
wbb0071,Launceston,Women's Big Bash League,2017-12-31,female,T20,,20,SL Bates,Aurora Stadium
wbb0072,Melbourne,Women's Big Bash League,2018-01-02,female,T20,,20,EA Perry,Camberwell Sports Ground
wbb0073,Melbourne,Women's Big Bash League,2018-01-05,female,T20,,20,A Price,Casey Fields No. 4
wbb0074,,Women's Big Bash League,2018-01-06,female,T20,,20,GA Elwiss,Melbourne Cricket Ground
wbb0075,Hobart,Women's Big Bash League,2018-01-07,female,T20,,20,BL Mooney,Bellerive Oval
wbb0076,Perth,Women's Big Bash League,2018-01-08,female,T20,,20,AJ Blackwell,W.A.C.A. Ground
wbb0077,Hobart,Women's Big Bash League,2018-01-08,female,T20,,20,KL Short,Bellerive Oval
wbb0078,,Women's Big Bash League,2018-01-09,female,T20,,20,T Saville,Adelaide Oval
wbb0079,Mackay,Women's Big Bash League,2018-01-12,female,T20,,20,BL Mooney,Harrup Park
wbb0080,Mackay,Women's Big Bash League,2018-01-13,female,T20,,20,EA Osborne,Harrup Park
wbb0081,,Women's Big Bash League,2018-01-13,female,T20,,20,NE Stalenberg,Sydney Cricket Ground
wbb0082,Alice Springs,Women's Big Bash League,2018-01-13,female,T20,,20,TM McGrath,Traeger Park
wbb0083,Alice Springs,Women's Big Bash League,2018-01-14,female,T20,,20,SW Bates,Traeger Park
wbb0084,Hobart,Women's Big Bash League,2018-01-15,female,T20,,20,B Hepburn,Bellerive Oval
wbb0085,Sydney,Women's Big Bash League,2018-01-19,female,T20,,20,EA Burns,Hurstville Oval
wbb0086,Melbourne,Women's Big Bash League,2018-01-21,female,T20,,20,EA Perry,Casey Fields No. 4
wbb0087,Perth,Women's Big Bash League,2018-01-21,female,T20,,20,NE Bolton,Lilac Hill Park
wbb0088,Canberra,Women's Big Bash League,2018-01-24,female,T20,,20,NJ Carey,Manuka Oval
wbb0089,Brisbane,Women's Big Bash League,2018-01-27,female,T20,,20,GM Harris,"Brisbane Cricket Ground, Woolloongabba"
wbb0090,Melbourne,Women's Big Bash League,2018-01-27,female,T20,,20,S Molineux,Camberwell Sports Ground
wbb0091,Sydney,Women's Big Bash League,2018-01-27,female,T20,,20,AJ Healy,Hurstville Oval
wbb0092,,Women's Big Bash League,2018-01-27,female,T20,,20,KM Mack,Melbourne Cricket Ground
wbb0093,Brisbane,Women's Big Bash League,2018-01-28,female,T20,,20,B Vakarewa,Allan Border Field
wbb0094,Sydney,Women's Big Bash League,2018-01-28,female,T20,,20,SJ Coyte,Hurstville Oval
wbb0095,Melbourne,Women's Big Bash League,2018-01-28,female,T20,,20,KH Brunt,Camberwell Sports Ground
