key,data_version,created,revision
wbb0001,0.91,2020-08-18,1
wbb0002,0.91,2020-08-18,1
wbb0003,0.91,2020-08-18,1
wbb0004,0.91,2020-08-15,1
wbb0005,0.91,2020-08-15,1
wbb0006,0.91,2020-08-15,1
wbb0007,0.91,2020-08-15,1
wbb0008,0.91,2020-08-15,1
wbb0009,0.91,2020-08-15,1
wbb0010,0.91,2020-08-16,1
wbb0011,0.91,2020-08-15,1
wbb0012,0.91,2020-08-16,1
wbb0013,0.91,2020-08-15,1
wbb0014,0.91,2020-08-15,1
wbb0015,0.91,2020-08-16,1
wbb0016,0.91,2020-08-15,1
wbb0017,0.91,2020-08-15,1
wbb0018,0.91,2020-08-15,1
wbb0019,0.91,2020-08-15,1
wbb0020,0.91,2020-08-15,1
wbb0021,0.91,2020-07-24,1
wbb0022,0.91,2020-07-24,1
wbb0023,0.91,2020-07-24,1
wbb0024,0.91,2020-07-24,1
wbb0025,0.91,2020-07-24,1
wbb0026,0.91,2020-07-24,1
wbb0027,0.91,2020-07-24,1
wbb0028,0.91,2020-07-24,1
wbb0029,0.91,2020-07-24,1
wbb0030,0.91,2020-07-24,1
wbb0031,0.91,2020-07-24,1
wbb0032,0.91,2020-07-24,1
wbb0033,0.91,2020-07-24,1
wbb0034,0.91,2020-07-24,1
wbb0035,0.91,2020-07-24,1
wbb0036,0.91,2020-07-24,1
wbb0037,0.91,2020-07-24,1
wbb0038,0.91,2020-07-24,1
wbb0039,0.91,2020-07-24,1
wbb0040,0.91,2020-07-24,1
wbb0041,0.91,2020-07-24,1
wbb0042,0.91,2020-07-24,1
wbb0043,0.91,2020-07-24,1
wbb0044,0.91,2020-07-25,1
wbb0045,0.91,2020-07-24,1
wbb0046,0.91,2020-07-24,1
wbb0047,0.91,2020-07-24,1
wbb0048,0.91,2020-07-25,1
wbb0049,0.91,2020-07-25,1
wbb0050,0.91,2020-07-25,1
wbb0051,0.91,2020-07-25,1
wbb0052,0.91,2020-07-25,1
wbb0053,0.91,2020-06-15,1
wbb0054,0.91,2020-06-15,1
wbb0055,0.91,2020-06-15,1
wbb0056,0.91,2020-06-15,1
wbb0057,0.91,2020-06-15,1
wbb0058,0.91,2020-06-16,1
wbb0059,0.91,2020-06-15,1
wbb0060,0.91,2020-06-16,1
wbb0061,0.91,2020-06-16,1
wbb0062,0.91,2020-06-16,1
wbb0063,0.91,2020-06-16,1
wbb0064,0.91,2020-06-16,1
wbb0065,0.91,2020-06-16,1
wbb0066,0.91,2020-06-12,1
wbb0067,0.91,2020-06-12,1
wbb0068,0.91,2020-06-12,1
wbb0069,0.91,2020-06-12,1
wbb0070,0.91,2020-06-12,1
wbb0071,0.91,2020-06-12,1
wbb0072,0.91,2020-06-12,1
wbb0073,0.91,2020-06-12,1
wbb0074,0.91,2020-06-12,1
wbb0075,0.91,2020-06-12,1
wbb0076,0.91,2020-06-13,1
wbb0077,0.91,2020-06-13,1
wbb0078,0.91,2020-06-13,1
wbb0079,0.91,2020-06-13,1
wbb0080,0.91,2020-06-13,1
wbb0081,0.91,2020-06-13,1
wbb0082,0.91,2020-06-13,1
wbb0083,0.91,2020-06-13,1
wbb0084,0.91,2020-06-13,1
wbb0085,0.91,2020-06-13,1
wbb0086,0.91,2020-06-13,1
wbb0087,0.91,2020-06-13,1
wbb0088,0.91,2020-06-14,1
wbb0089,0.91,2020-06-14,1
wbb0090,0.91,2020-06-14,1
wbb0091,0.91,2020-06-14,1
wbb0092,0.91,2020-06-14,1
wbb0093,0.91,2020-06-14,1
wbb0094,0.91,2020-06-14,1
wbb0095,0.91,2020-06-14,1
wbb0096,0.91,2020-06-14,1
wbb0097,0.91,2020-06-14,1
wbb0098,0.91,2020-06-14,1
wbb0099,0.91,2020-06-14,1
wbb0100,0.91,2020-04-14,1
wbb0101,0.91,2020-04-14,1
wbb0102,0.91,2020-04-14,1
wbb0103,0.91,2020-04-14,1
wbb0104,0.91,2020-04-14,1
wbb0105,0.91,2020-04-14,1
wbb0106,0.91,2020-04-14,1
wbb0107,0.91,2020-04-14,1
wbb0108,0.91,2020-04-14,1
wbb0109,0.91,2020-04-14,1
wbb0110,0.91,2020-04-14,1
wbb0111,0.91,2020-04-14,1
wbb0112,0.91,2020-04-14,1
wbb0113,0.91,2020-04-14,1
wbb0114,0.91,2020-04-14,1
wbb0115,0.91,2020-04-14,1
wbb0116,0.91,2020-04-14,1
wbb0117,0.91,2020-04-14,1
wbb0118,0.91,2020-04-14,1
wbb0119,0.91,2020-04-15,1
wbb0120,0.91,2020-04-15,1
wbb0121,0.91,2020-04-15,1
wbb0122,0.91,2020-04-15,1
wbb0123,0.91,2020-04-15,1
wbb0124,0.91,2020-04-15,1
wbb0125,0.91,2020-04-15,1
wbb0126,0.91,2020-04-15,1
wbb0127,0.91,2020-04-15,1
wbb0128,0.91,2020-04-15,1
wbb0129,0.91,2020-03-22,1
wbb0130,0.91,2020-03-22,1
wbb0131,0.91,2020-03-22,1
wbb0132,0.91,2020-03-24,1
wbb0133,0.91,2020-03-22,1
wbb0134,0.91,2020-03-24,1
wbb0135,0.91,2020-03-24,1
wbb0136,0.91,2020-03-24,1
wbb0137,0.91,2020-03-23,1
wbb0138,0.91,2020-03-24,1
wbb0139,0.91,2020-03-24,1
wbb0140,0.91,2020-03-24,1
wbb0141,0.91,2020-03-27,1
wbb0142,0.91,2020-03-24,1
wbb0143,0.91,2020-03-27,1
wbb0144,0.91,2020-03-27,1
wbb0145,0.91,2020-03-27,1
wbb0146,0.91,2020-03-27,1
wbb0147,0.91,2020-03-28,1
wbb0148,0.91,2020-03-28,1
wbb0149,0.91,2020-03-28,1
wbb0150,0.91,2020-03-28,1
wbb0151,0.91,2020-03-28,1
wbb0152,0.91,2020-03-28,1
wbb0153,0.91,2020-03-28,1
wbb0154,0.91,2020-03-28,1
wbb0155,0.91,2020-03-28,1
wbb0156,0.91,2020-03-28,1
wbb0157,0.91,2020-03-28,1
wbb0158,0.91,2019-11-07,1
wbb0159,0.91,2019-11-09,1
wbb0160,0.91,2019-11-08,1
wbb0161,0.91,2019-11-08,1
wbb0162,0.91,2019-11-09,1
wbb0163,0.91,2019-11-09,1
wbb0164,0.91,2019-11-09,1
wbb0165,0.91,2019-11-09,1
wbb0166,0.91,2019-11-14,1
wbb0167,0.91,2019-11-13,1
wbb0168,0.91,2019-11-10,1
wbb0169,0.91,2019-11-09,1
wbb0170,0.91,2019-11-14,1
wbb0171,0.91,2019-11-14,1
wbb0172,0.91,2019-11-14,1
wbb0173,0.91,2019-11-14,1
wbb0174,0.91,2019-11-14,1
wbb0175,0.91,2019-11-14,1
wbb0176,0.91,2019-11-14,1
wbb0177,0.91,2019-11-14,1
wbb0178,0.91,2019-11-14,1
wbb0179,0.91,2019-11-14,1
wbb0180,0.91,2019-11-14,1
wbb0181,0.91,2019-11-14,1
wbb0182,0.91,2019-11-15,1
wbb0183,0.91,2019-11-14,1
wbb0184,0.91,2019-11-14,1
wbb0185,0.91,2019-11-15,1
wbb0186,0.91,2019-11-15,1
wbb0187,0.91,2019-11-15,1
wbb0188,0.91,2019-11-16,1
wbb0189,0.91,2019-11-16,1
wbb0190,0.91,2019-11-16,1
wbb0191,0.91,2019-11-19,1
wbb0192,0.91,2019-11-19,1
wbb0193,0.91,2019-11-20,1
wbb0194,0.91,2019-11-30,1
wbb0195,0.91,2019-12-02,1
wbb0196,0.91,2019-12-01,1
wbb0197,0.91,2019-12-02,1
wbb0198,0.91,2019-12-02,1
wbb0199,0.91,2019-12-02,1
wbb0200,0.91,2019-12-02,1
wbb0201,0.91,2019-12-04,1
wbb0202,0.91,2019-12-04,1
wbb0203,0.91,2019-12-04,1
wbb0204,0.91,2019-12-04,1
wbb0205,0.91,2019-12-04,1
wbb0206,0.91,2019-12-04,1
wbb0207,0.91,2019-12-04,1
wbb0208,0.91,2019-12-19,1
wbb0209,0.91,2019-12-19,1
wbb0210,0.91,2019-12-19,1
wbb0211,0.91,2020-10-26,1
wbb0212,0.91,2020-10-26,1
wbb0213,0.91,2020-10-26,1
wbb0214,0.91,2020-10-26,1
wbb0215,0.91,2020-10-26,1
wbb0216,0.91,2020-11-02,1
wbb0217,0.91,2020-11-02,1
wbb0218,0.91,2020-11-02,1
wbb0219,0.91,2020-11-02,1
wbb0220,0.91,2020-11-02,1
wbb0221,0.91,2020-11-02,1
wbb0222,0.91,2020-11-02,1
wbb0223,0.91,2020-11-03,1
wbb0224,0.91,2020-11-03,1
wbb0225,0.91,2020-11-04,1
wbb0226,0.91,2020-11-04,1
wbb0227,0.91,2020-11-08,1
wbb0228,0.91,2020-11-08,1
wbb0229,0.91,2020-11-08,1
wbb0230,0.91,2020-11-08,1
wbb0231,0.91,2020-11-08,1
wbb0232,0.91,2020-11-08,1
wbb0233,0.91,2020-11-08,1
wbb0234,0.91,2020-11-10,1
wbb0235,0.91,2020-11-10,1
wbb0236,0.91,2020-11-11,1
wbb0237,0.91,2020-11-11,1
wbb0238,0.91,2020-11-14,1
wbb0239,0.91,2020-11-14,2
wbb0240,0.91,2020-11-14,2
wbb0241,0.91,2020-11-14,2
wbb0242,0.91,2020-11-16,1
wbb0243,0.91,2020-11-16,1
wbb0244,0.91,2020-11-16,1
wbb0245,0.91,2020-11-16,2
wbb0246,0.91,2020-11-18,1
wbb0247,0.91,2020-11-18,1
wbb0248,0.91,2020-11-18,1
wbb0249,0.91,2020-11-18,1
wbb0250,0.91,2020-11-18,1
wbb0251,0.91,2020-11-18,1
wbb0252,0.91,2020-11-18,1
wbb0253,0.91,2020-11-18,1
wbb0254,0.91,2020-11-23,1
wbb0255,0.91,2020-11-23,1
wbb0256,0.91,2020-11-23,1
