key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
wbb0001,,wickets,9.0,,,,,Melbourne Stars
wbb0002,,wickets,7.0,,,,,Melbourne Stars
wbb0003,,wickets,8.0,,,,,Brisbane Heat
wbb0004,,wickets,6.0,,,,,Perth Scorchers
wbb0005,,wickets,8.0,,,,,Perth Scorchers
wbb0006,,runs,35.0,,,,,Adelaide Strikers
wbb0007,,runs,25.0,,,D/L,,Sydney Sixers
wbb0008,,wickets,9.0,,,,,Perth Scorchers
wbb0009,,runs,8.0,,,,,Sydney Thunder
wbb0010,,wickets,10.0,,,D/L,,Sydney Sixers
wbb0011,,runs,14.0,,,,,Adelaide Strikers
wbb0012,,runs,17.0,,,,,Perth Scorchers
wbb0013,,wickets,7.0,,,,,Melbourne Renegades
wbb0014,,wickets,8.0,,,,,Sydney Thunder
wbb0015,,wickets,8.0,,,,,Perth Scorchers
wbb0016,,wickets,6.0,,,,,Adelaide Strikers
wbb0017,,wickets,7.0,,,,,Melbourne Stars
wbb0018,,runs,3.0,,,,,Hobart Hurricanes
wbb0019,,wickets,7.0,,,,,Melbourne Stars
wbb0020,,,,,Hobart Hurricanes,,tie,
wbb0021,,runs,54.0,,,,,Melbourne Stars
wbb0022,,runs,5.0,,,,,Brisbane Heat
wbb0023,,runs,33.0,,,,,Sydney Sixers
wbb0024,,wickets,7.0,,,,,Sydney Sixers
wbb0025,,wickets,6.0,,,,,Perth Scorchers
wbb0026,,wickets,9.0,,,D/L,,Melbourne Renegades
wbb0027,,runs,3.0,,,,,Sydney Thunder
wbb0028,,runs,19.0,,,,,Sydney Sixers
wbb0029,,wickets,4.0,,,,,Sydney Sixers
wbb0030,,wickets,5.0,,,,,Melbourne Renegades
wbb0031,,runs,44.0,,,,,Hobart Hurricanes
wbb0032,,wickets,5.0,,,,,Melbourne Renegades
wbb0033,,runs,15.0,,,,,Brisbane Heat
wbb0034,,wickets,4.0,,,,,Sydney Sixers
wbb0035,,wickets,8.0,,,,,Hobart Hurricanes
wbb0036,,wickets,6.0,,,,,Melbourne Stars
wbb0037,,runs,16.0,,,,,Sydney Sixers
wbb0038,,runs,37.0,,,,,Melbourne Stars
wbb0039,,,,,Sydney Thunder,,tie,
wbb0040,,wickets,5.0,,,,,Brisbane Heat
wbb0041,,wickets,7.0,,,,,Perth Scorchers
wbb0042,,runs,33.0,,,,,Perth Scorchers
wbb0043,,wickets,6.0,,,,,Hobart Hurricanes
wbb0044,,wickets,4.0,,,D/L,,Melbourne Stars
wbb0045,,wickets,6.0,,,,,Melbourne Renegades
wbb0046,,runs,4.0,,,,,Perth Scorchers
wbb0047,,wickets,9.0,,,,,Brisbane Heat
wbb0048,,wickets,4.0,,,,,Hobart Hurricanes
wbb0049,,runs,35.0,,,,,Sydney Sixers
wbb0050,,wickets,9.0,,,,,Perth Scorchers
wbb0051,,runs,103.0,,,,,Sydney Sixers
wbb0052,,runs,7.0,,,,,Sydney Sixers
wbb0053,,runs,86.0,,,,,Sydney Sixers
wbb0054,,runs,45.0,,,,,Adelaide Strikers
wbb0055,,runs,11.0,,,,,Sydney Thunder
wbb0056,,wickets,6.0,,,,,Sydney Sixers
wbb0057,,runs,18.0,,,,,Perth Scorchers
wbb0058,,wickets,8.0,,,,,Sydney Thunder
wbb0059,,wickets,9.0,,,,,Perth Scorchers
wbb0060,,wickets,6.0,,,,,Brisbane Heat
wbb0061,,runs,1.0,,,,,Adelaide Strikers
wbb0062,,runs,9.0,,,,,Melbourne Renegades
wbb0063,,runs,33.0,,,,,Sydney Sixers
wbb0064,,runs,8.0,,,,,Melbourne Renegades
wbb0065,,wickets,10.0,,,,,Melbourne Renegades
wbb0066,,wickets,9.0,,,,,Perth Scorchers
wbb0067,,runs,12.0,,,,,Melbourne Stars
wbb0068,,wickets,9.0,,,,,Brisbane Heat
wbb0069,,wickets,6.0,,,,,Perth Scorchers
wbb0070,,wickets,8.0,,,,,Brisbane Heat
wbb0071,,wickets,8.0,,,,,Sydney Thunder
wbb0072,,runs,36.0,,,,,Sydney Sixers
wbb0073,,runs,22.0,,,,,Adelaide Strikers
wbb0074,,wickets,7.0,,,,,Melbourne Stars
wbb0075,,wickets,8.0,,,,,Brisbane Heat
wbb0076,,wickets,8.0,,,,,Perth Scorchers
wbb0077,,runs,42.0,,,,,Brisbane Heat
wbb0078,,wickets,1.0,,,,,Adelaide Strikers
wbb0079,,wickets,5.0,,,,,Brisbane Heat
wbb0080,,wickets,6.0,,,,,Melbourne Stars
wbb0081,,wickets,4.0,,,,,Sydney Thunder
wbb0082,,wickets,6.0,,,,,Adelaide Strikers
wbb0083,,runs,31.0,,,,,Adelaide Strikers
wbb0084,,runs,4.0,,,,,Hobart Hurricanes
wbb0085,,runs,18.0,,,,,Sydney Sixers
wbb0086,,wickets,5.0,,,,,Sydney Sixers
wbb0087,,wickets,6.0,,,,,Perth Scorchers
wbb0088,,wickets,4.0,,,,,Sydney Thunder
wbb0089,,wickets,6.0,,,,,Brisbane Heat
wbb0090,,wickets,4.0,,,,,Melbourne Renegades
wbb0091,,wickets,7.0,,,,,Sydney Sixers
wbb0092,,wickets,7.0,,,,,Melbourne Stars
wbb0093,,runs,2.0,,,,,Sydney Thunder
wbb0094,,wickets,7.0,,,,,Sydney Sixers
wbb0095,,wickets,4.0,,,,,Perth Scorchers
wbb0096,,runs,2.0,,,,,Hobart Hurricanes
wbb0097,,runs,27.0,,,,,Perth Scorchers
wbb0098,,runs,17.0,,,,,Sydney Sixers
wbb0099,,wickets,9.0,,,,,Sydney Sixers
wbb0100,,wickets,7.0,,,,,Melbourne Stars
wbb0101,,wickets,6.0,,,,,Perth Scorchers
wbb0102,,wickets,6.0,,,,,Sydney Thunder
wbb0103,,runs,36.0,,,,,Adelaide Strikers
wbb0104,,wickets,6.0,,,,,Sydney Sixers
wbb0105,,runs,36.0,,,,,Sydney Sixers
wbb0106,,wickets,7.0,,,,,Brisbane Heat
wbb0107,,wickets,6.0,,,,,Melbourne Renegades
wbb0108,,wickets,5.0,,,,,Melbourne Stars
wbb0109,,runs,28.0,,,,,Sydney Thunder
wbb0110,,,,,,,no result,
wbb0111,,runs,72.0,,,,,Hobart Hurricanes
wbb0112,,wickets,7.0,,,D/L,,Sydney Sixers
wbb0113,,wickets,6.0,,,,,Sydney Thunder
wbb0114,,wickets,8.0,,,,,Perth Scorchers
wbb0115,,runs,21.0,,,,,Brisbane Heat
wbb0116,,runs,17.0,,,,,Sydney Sixers
wbb0117,,wickets,5.0,,,,,Sydney Thunder
wbb0118,,wickets,4.0,,,,,Melbourne Stars
wbb0119,,,,,Perth Scorchers,,tie,
wbb0120,,wickets,10.0,,,,,Brisbane Heat
wbb0121,,wickets,4.0,,,,,Melbourne Stars
wbb0122,,wickets,6.0,,,,,Sydney Thunder
wbb0123,,wickets,4.0,,,,,Melbourne Renegades
wbb0124,,runs,11.0,,,,,Sydney Sixers
wbb0125,,runs,15.0,,,,,Perth Scorchers
wbb0126,,runs,66.0,,,,,Brisbane Heat
wbb0127,,runs,19.0,,,,,Adelaide Strikers
wbb0128,,wickets,6.0,,,,,Sydney Thunder
wbb0129,,wickets,5.0,,,,,Brisbane Heat
wbb0130,,wickets,7.0,,,,,Sydney Sixers
wbb0131,,runs,74.0,,,,,Sydney Sixers
wbb0132,,wickets,1.0,,,,,Melbourne Renegades
wbb0133,,wickets,6.0,,,,,Perth Scorchers
wbb0134,,wickets,5.0,,,,,Hobart Hurricanes
wbb0135,,runs,3.0,,,,,Perth Scorchers
wbb0136,,runs,8.0,,,,,Sydney Sixers
wbb0137,,runs,58.0,,,,,Brisbane Heat
wbb0138,,runs,48.0,,,,,Melbourne Renegades
wbb0139,,wickets,8.0,,,,,Sydney Thunder
wbb0140,,wickets,5.0,,,,,Melbourne Renegades
wbb0141,,runs,43.0,,,,,Brisbane Heat
wbb0142,,,,,,,no result,
wbb0143,,runs,25.0,,,,,Melbourne Renegades
wbb0144,,runs,5.0,,,,,Sydney Thunder
wbb0145,,,,,Adelaide Strikers,,tie,
wbb0146,,wickets,6.0,,,,,Sydney Thunder
wbb0147,,runs,24.0,,,,,Adelaide Strikers
wbb0148,,wickets,7.0,,,,,Brisbane Heat
wbb0149,,wickets,3.0,,,,,Brisbane Heat
wbb0150,,runs,3.0,,,,,Melbourne Renegades
wbb0151,,runs,30.0,,,,,Adelaide Strikers
wbb0152,,runs,29.0,,,,,Sydney Sixers
wbb0153,,wickets,10.0,,,,,Perth Scorchers
wbb0154,,wickets,5.0,,,,,Melbourne Stars
wbb0155,,,,,Sydney Sixers,,tie,
wbb0156,,runs,4.0,,,,,Brisbane Heat
wbb0157,,wickets,3.0,,,,,Brisbane Heat
wbb0158,,runs,49.0,,,,,Sydney Sixers
wbb0159,,runs,92.0,,,,,Brisbane Heat
wbb0160,,runs,20.0,,,,,Hobart Hurricanes
wbb0161,,wickets,6.0,,,,,Adelaide Strikers
wbb0162,,wickets,7.0,,,,,Sydney Thunder
wbb0163,,wickets,5.0,,,,,Hobart Hurricanes
wbb0164,,wickets,5.0,,,,,Melbourne Renegades
wbb0165,,wickets,4.0,,,,,Melbourne Renegades
wbb0166,,runs,3.0,,,,,Sydney Thunder
wbb0167,,wickets,9.0,,,,,Perth Scorchers
wbb0168,,wickets,8.0,,,,,Sydney Sixers
wbb0169,,runs,3.0,,,,,Adelaide Strikers
wbb0170,,wickets,5.0,,,,,Brisbane Heat
wbb0171,,wickets,4.0,,,,,Sydney Thunder
wbb0172,,wickets,7.0,,,,,Adelaide Strikers
wbb0173,,wickets,8.0,,,D/L,,Perth Scorchers
wbb0174,,wickets,8.0,,,,,Adelaide Strikers
wbb0175,,runs,20.0,,,,,Melbourne Stars
wbb0176,,wickets,4.0,,,,,Sydney Sixers
wbb0177,,wickets,9.0,,,,,Brisbane Heat
wbb0178,,wickets,6.0,,,,,Sydney Thunder
wbb0179,,wickets,7.0,,,,,Brisbane Heat
wbb0180,,runs,2.0,,,,,Perth Scorchers
wbb0181,,wickets,4.0,,,,,Melbourne Renegades
wbb0182,,wickets,8.0,,,,,Melbourne Renegades
wbb0183,,runs,7.0,,,,,Perth Scorchers
wbb0184,,runs,17.0,,,,,Adelaide Strikers
wbb0185,,runs,11.0,,,,,Perth Scorchers
wbb0186,,wickets,9.0,,,,,Brisbane Heat
wbb0187,,runs,39.0,,,,,Sydney Sixers
wbb0188,,runs,40.0,,,,,Sydney Sixers
wbb0189,,runs,57.0,,,,,Adelaide Strikers
wbb0190,,runs,32.0,,,,,Brisbane Heat
wbb0191,,wickets,2.0,,,,,Melbourne Renegades
wbb0192,,wickets,8.0,,,,,Brisbane Heat
wbb0193,,wickets,9.0,,,,,Perth Scorchers
wbb0194,,runs,7.0,,,,,Brisbane Heat
wbb0195,,wickets,7.0,,,,,Melbourne Stars
wbb0196,,runs,2.0,,,,,Adelaide Strikers
wbb0197,,wickets,8.0,,,,,Perth Scorchers
wbb0198,,,,,Adelaide Strikers,,tie,
wbb0199,,runs,18.0,,,,,Sydney Thunder
wbb0200,,wickets,6.0,,,,,Melbourne Renegades
wbb0201,,wickets,6.0,,,,,Hobart Hurricanes
wbb0202,,wickets,8.0,,,,,Adelaide Strikers
wbb0203,,wickets,6.0,,,,,Melbourne Renegades
wbb0204,,wickets,8.0,,,,,Brisbane Heat
wbb0205,,runs,35.0,,,,,Perth Scorchers
wbb0206,,runs,13.0,,,,,Sydney Sixers
wbb0207,,runs,29.0,,,,,Melbourne Renegades
wbb0208,,wickets,4.0,,,,,Brisbane Heat
wbb0209,,wickets,8.0,,,,,Adelaide Strikers
wbb0210,,wickets,6.0,,,,,Brisbane Heat
wbb0211,,wickets,7.0,,,,,Brisbane Heat
wbb0212,,wickets,8.0,,,,,Adelaide Strikers
wbb0213,,,,,,,no result,
wbb0214,,wickets,9.0,,,,,Sydney Sixers
wbb0215,,,,,,,no result,
wbb0216,,,,,,,no result,
wbb0217,,runs,18.0,,,,,Perth Scorchers
wbb0218,,runs,58.0,,,,,Sydney Thunder
wbb0219,,wickets,8.0,,,,,Melbourne Stars
wbb0220,,wickets,8.0,,,,,Sydney Sixers
wbb0221,,runs,14.0,,,,,Sydney Thunder
wbb0222,,,,,,,no result,
wbb0223,,wickets,7.0,,,,,Melbourne Stars
wbb0224,,wickets,9.0,,,,,Hobart Hurricanes
wbb0225,,runs,24.0,,,,,Sydney Sixers
wbb0226,,runs,24.0,,,,,Sydney Thunder
wbb0227,,wickets,8.0,,,,,Melbourne Stars
wbb0228,,runs,9.0,,,,,Sydney Sixers
wbb0229,,runs,2.0,,,,,Melbourne Renegades
wbb0230,,runs,36.0,,,,,Perth Scorchers
