key,team
wbb0001,Sydney Sixers
wbb0001,Melbourne Stars
wbb0002,Sydney Sixers
wbb0002,Melbourne Stars
wbb0003,Adelaide Strikers
wbb0003,Brisbane Heat
wbb0004,Melbourne Stars
wbb0004,Perth Scorchers
wbb0005,Melbourne Stars
wbb0005,Perth Scorchers
wbb0006,Adelaide Strikers
wbb0006,Perth Scorchers
wbb0007,Sydney Sixers
wbb0007,Hobart Hurricanes
wbb0008,Melbourne Renegades
wbb0008,Perth Scorchers
wbb0009,Sydney Thunder
wbb0009,Perth Scorchers
wbb0010,Hobart Hurricanes
wbb0010,Sydney Sixers
wbb0011,Adelaide Strikers
wbb0011,Melbourne Renegades
wbb0012,Perth Scorchers
wbb0012,Hobart Hurricanes
wbb0013,Adelaide Strikers
wbb0013,Melbourne Renegades
wbb0014,Melbourne Stars
wbb0014,Sydney Thunder
wbb0015,Brisbane Heat
wbb0015,Perth Scorchers
wbb0016,Sydney Thunder
wbb0016,Adelaide Strikers
wbb0017,Sydney Sixers
wbb0017,Melbourne Stars
wbb0018,Hobart Hurricanes
wbb0018,Melbourne Renegades
wbb0019,Sydney Sixers
wbb0019,Melbourne Stars
wbb0020,Hobart Hurricanes
wbb0020,Melbourne Renegades
wbb0021,Melbourne Stars
wbb0021,Brisbane Heat
wbb0022,Brisbane Heat
wbb0022,Melbourne Stars
wbb0023,Sydney Sixers
wbb0023,Sydney Thunder
wbb0024,Hobart Hurricanes
wbb0024,Sydney Sixers
wbb0025,Adelaide Strikers
wbb0025,Perth Scorchers
wbb0026,Melbourne Stars
wbb0026,Melbourne Renegades
wbb0027,Sydney Thunder
wbb0027,Brisbane Heat
wbb0028,Sydney Sixers
wbb0028,Adelaide Strikers
wbb0029,Adelaide Strikers
wbb0029,Sydney Sixers
wbb0030,Perth Scorchers
wbb0030,Melbourne Renegades
wbb0031,Hobart Hurricanes
wbb0031,Sydney Thunder
wbb0032,Melbourne Stars
wbb0032,Melbourne Renegades
wbb0033,Brisbane Heat
wbb0033,Hobart Hurricanes
wbb0034,Perth Scorchers
wbb0034,Sydney Sixers
wbb0035,Brisbane Heat
wbb0035,Hobart Hurricanes
wbb0036,Adelaide Strikers
wbb0036,Melbourne Stars
wbb0037,Sydney Sixers
wbb0037,Hobart Hurricanes
wbb0038,Melbourne Stars
wbb0038,Adelaide Strikers
wbb0039,Sydney Sixers
wbb0039,Sydney Thunder
wbb0040,Melbourne Renegades
wbb0040,Brisbane Heat
wbb0041,Adelaide Strikers
wbb0041,Perth Scorchers
wbb0042,Perth Scorchers
wbb0042,Melbourne Stars
wbb0043,Sydney Thunder
wbb0043,Hobart Hurricanes
wbb0044,Hobart Hurricanes
wbb0044,Melbourne Stars
wbb0045,Sydney Sixers
wbb0045,Melbourne Renegades
wbb0046,Perth Scorchers
wbb0046,Sydney Thunder
wbb0047,Adelaide Strikers
wbb0047,Brisbane Heat
wbb0048,Melbourne Stars
wbb0048,Hobart Hurricanes
wbb0049,Sydney Sixers
wbb0049,Melbourne Renegades
wbb0050,Brisbane Heat
wbb0050,Perth Scorchers
wbb0051,Sydney Sixers
wbb0051,Hobart Hurricanes
wbb0052,Sydney Sixers
wbb0052,Perth Scorchers
wbb0053,Sydney Sixers
wbb0053,Melbourne Stars
wbb0054,Adelaide Strikers
wbb0054,Hobart Hurricanes
wbb0055,Sydney Thunder
wbb0055,Melbourne Renegades
