key,toss_winner,toss_decision,decision,winner
wbb0001,,,bat,Sydney Sixers
wbb0002,,,bat,Sydney Sixers
wbb0003,,,bat,Adelaide Strikers
wbb0004,,,bat,Melbourne Stars
wbb0005,,,field,Perth Scorchers
wbb0006,,,bat,Adelaide Strikers
wbb0007,,,bat,Sydney Sixers
wbb0008,,,field,Perth Scorchers
wbb0009,,,bat,Sydney Thunder
wbb0010,,,bat,Hobart Hurricanes
wbb0011,,,field,Melbourne Renegades
wbb0012,,,bat,Perth Scorchers
wbb0013,,,bat,Adelaide Strikers
wbb0014,,,bat,Melbourne Stars
wbb0015,,,field,Perth Scorchers
wbb0016,,,bat,Sydney Thunder
wbb0017,,,bat,Sydney Sixers
wbb0018,,,field,Melbourne Renegades
wbb0019,,,field,Melbourne Stars
wbb0020,,,field,Melbourne Renegades
wbb0021,,,field,Brisbane Heat
wbb0022,,,bat,Brisbane Heat
wbb0023,,,field,Sydney Thunder
wbb0024,,,bat,Hobart Hurricanes
wbb0025,,,bat,Adelaide Strikers
wbb0026,,,bat,Melbourne Stars
wbb0027,,,field,Brisbane Heat
wbb0028,,,bat,Sydney Sixers
wbb0029,,,bat,Adelaide Strikers
wbb0030,,,bat,Perth Scorchers
wbb0031,,,bat,Hobart Hurricanes
wbb0032,,,field,Melbourne Renegades
wbb0033,,,bat,Brisbane Heat
wbb0034,,,bat,Perth Scorchers
wbb0035,,,bat,Brisbane Heat
wbb0036,,,field,Melbourne Stars
wbb0037,,,field,Hobart Hurricanes
wbb0038,,,field,Adelaide Strikers
wbb0039,,,bat,Sydney Sixers
wbb0040,,,field,Brisbane Heat
wbb0041,,,field,Perth Scorchers
wbb0042,,,field,Melbourne Stars
wbb0043,,,bat,Sydney Thunder
wbb0044,,,field,Melbourne Stars
wbb0045,,,field,Melbourne Renegades
wbb0046,,,field,Sydney Thunder
wbb0047,,,field,Brisbane Heat
wbb0048,,,bat,Melbourne Stars
wbb0049,,,field,Melbourne Renegades
wbb0050,,,field,Perth Scorchers
wbb0051,,,bat,Sydney Sixers
wbb0052,,,field,Perth Scorchers
wbb0053,,,field,Melbourne Stars
wbb0054,,,field,Hobart Hurricanes
wbb0055,,,field,Melbourne Renegades
wbb0056,,,bat,Sydney Thunder
wbb0057,,,bat,Perth Scorchers
wbb0058,,,field,Sydney Thunder
wbb0059,,,field,Perth Scorchers
wbb0060,,,bat,Perth Scorchers
wbb0061,,,field,Melbourne Renegades
wbb0062,,,bat,Melbourne Renegades
wbb0063,,,bat,Sydney Sixers
wbb0064,,,field,Brisbane Heat
wbb0065,,,bat,Brisbane Heat
wbb0066,,,field,Perth Scorchers
wbb0067,,,bat,Melbourne Stars
wbb0068,,,field,Brisbane Heat
wbb0069,,,bat,Sydney Sixers
wbb0070,,,field,Brisbane Heat
wbb0071,,,bat,Hobart Hurricanes
wbb0072,,,field,Melbourne Renegades
wbb0073,,,field,Melbourne Stars
wbb0074,,,bat,Melbourne Renegades
wbb0075,,,field,Brisbane Heat
wbb0076,,,field,Perth Scorchers
wbb0077,,,field,Hobart Hurricanes
wbb0078,,,bat,Melbourne Stars
wbb0079,,,bat,Melbourne Stars
wbb0080,,,bat,Brisbane Heat
wbb0081,,,bat,Sydney Sixers
wbb0082,,,field,Adelaide Strikers
