key,date
wsl0001,2016-07-30
wsl0002,2016-07-31
wsl0003,2016-07-31
wsl0004,2016-08-03
wsl0005,2016-08-04
wsl0006,2016-08-05
wsl0007,2016-08-05
wsl0008,2016-08-07
wsl0009,2016-08-08
wsl0010,2016-08-09
wsl0011,2016-08-12
wsl0012,2016-08-12
wsl0013,2016-08-14
wsl0014,2016-08-14
wsl0015,2016-08-21
wsl0016,2016-08-21
wsl0017,2017-08-10
wsl0018,2017-08-11
wsl0019,2017-08-12
wsl0020,2017-08-13
wsl0021,2017-08-15
wsl0022,2017-08-16
wsl0023,2017-08-18
wsl0024,2017-08-20
wsl0025,2017-08-20
wsl0026,2017-08-20
wsl0027,2017-08-23
wsl0028,2017-08-23
wsl0029,2017-08-26
wsl0030,2017-08-26
wsl0031,2017-08-26
wsl0032,2017-09-01
wsl0033,2017-09-01
wsl0034,2018-07-22
wsl0035,2018-07-22
wsl0036,2018-07-22
wsl0037,2018-07-25
wsl0038,2018-07-26
wsl0039,2018-07-27
wsl0040,2018-07-29
wsl0041,2018-07-29
wsl0042,2018-07-31
wsl0043,2018-07-31
wsl0044,2018-07-31
wsl0045,2018-08-02
wsl0046,2018-08-02
wsl0047,2018-08-03
wsl0048,2018-08-04
wsl0049,2018-08-05
wsl0050,2018-08-07
wsl0051,2018-08-08
wsl0052,2018-08-09
wsl0053,2018-08-09
wsl0054,2018-08-11
wsl0055,2018-08-11
wsl0056,2018-08-12
wsl0057,2018-08-14
wsl0058,2018-08-14
wsl0059,2018-08-15
wsl0060,2018-08-18
wsl0061,2018-08-18
wsl0062,2018-08-18
wsl0063,2018-08-27
wsl0064,2018-08-27
wsl0065,2019-08-06
wsl0066,2019-08-06
wsl0067,2019-08-06
wsl0068,2019-08-08
wsl0069,2019-08-08
wsl0070,2019-08-10
wsl0071,2019-08-11
wsl0072,2019-08-11
wsl0073,2019-08-13
wsl0074,2019-08-13
wsl0075,2019-08-15
wsl0076,2019-08-15
wsl0077,2019-08-15
wsl0078,2019-08-18
wsl0079,2019-08-18
wsl0080,2019-08-18
wsl0081,2019-08-20
wsl0082,2019-08-20
wsl0083,2019-08-20
wsl0084,2019-08-21
wsl0085,2019-08-21
wsl0086,2019-08-23
wsl0087,2019-08-23
wsl0088,2019-08-25
wsl0089,2019-08-25
wsl0090,2019-08-25
wsl0091,2019-08-28
wsl0092,2019-08-28
wsl0093,2019-08-28
wsl0094,2019-09-01
wsl0095,2019-09-01
