key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
wsl0001,Leeds,Women's Cricket Super League,2016-07-30,female,T20,,20,,"Headingley, Leeds"
wsl0002,Taunton,Women's Cricket Super League,2016-07-31,female,T20,,20,,"County Ground, Taunton"
wsl0003,Southampton,Women's Cricket Super League,2016-07-31,female,T20,,20,,"The Rose Bowl, Southampton"
wsl0004,Loughborough,Women's Cricket Super League,2016-08-03,female,T20,,20,,"Haslegrave Ground, Loughborough"
wsl0005,London,Women's Cricket Super League,2016-08-04,female,T20,,20,,"Kennington Oval, London"
wsl0006,Loughborough,Women's Cricket Super League,2016-08-05,female,T20,,20,,"Haslegrave Ground, Loughborough"
wsl0007,Blackpool,Women's Cricket Super League,2016-08-05,female,T20,,20,,"Stanley Park, Blackpool"
wsl0008,Bristol,Women's Cricket Super League,2016-08-07,female,T20,,20,,"County Ground, Bristol"
wsl0009,Southampton,Women's Cricket Super League,2016-08-08,female,T20,,20,,"The Rose Bowl, Southampton"
wsl0010,Guildford,Women's Cricket Super League,2016-08-09,female,T20,,20,,"Woodbridge Road, Guildford"
wsl0011,Taunton,Women's Cricket Super League,2016-08-12,female,T20,,20,,"County Ground, Taunton"
wsl0012,Loughborough,Women's Cricket Super League,2016-08-12,female,T20,,20,,"Haslegrave Ground, Loughborough"
wsl0013,Leeds,Women's Cricket Super League,2016-08-14,female,T20,,20,,"Headingley, Leeds"
wsl0014,Southampton,Women's Cricket Super League,2016-08-14,female,T20,,20,,"The Rose Bowl, Southampton"
wsl0015,Chelmsford,Women's Cricket Super League,2016-08-21,female,T20,,20,,"County Ground, Chelmsford"
wsl0016,Chelmsford,Women's Cricket Super League,2016-08-21,female,T20,,20,,"County Ground, Chelmsford"
wsl0017,Southampton,Women's Cricket Super League,2017-08-10,female,T20,,20,SW Bates,"The Rose Bowl, Southampton"
wsl0018,Leeds,Women's Cricket Super League,2017-08-11,female,T20,,20,AN Davidson-Richards,"Headingley, Leeds"
wsl0019,Taunton,Women's Cricket Super League,2017-08-12,female,T20,,20,SR Taylor,"The Cooper Associates County Ground, Taunton"
wsl0020,London,Women's Cricket Super League,2017-08-13,female,T20,,20,M Kapp,"Kennington Oval, London"
wsl0021,Derby,Women's Cricket Super League,2017-08-15,female,T20,,20,SW Bates,"County Ground, Derby"
wsl0022,Manchester,Women's Cricket Super League,2017-08-16,female,T20,,20,RM Farrell,"Old Trafford, Manchester"
wsl0023,Loughborough,Women's Cricket Super League,2017-08-18,female,T20,,20,AC Jayangani,"Haslegrave Ground, Loughborough"
wsl0024,York,Women's Cricket Super League,2017-08-20,female,T20,,20,RH Priest,"Clifton Park Ground, York"
wsl0025,Southampton,Women's Cricket Super League,2017-08-20,female,T20,,20,M Kapp,"The Rose Bowl, Southampton"
wsl0026,Blackpool,Women's Cricket Super League,2017-08-20,female,T20,,20,EA Perry,"Stanley Park, Blackpool"
wsl0027,London,Women's Cricket Super League,2017-08-23,female,T20,,20,L Lee,"Kennington Oval, London"
