key,inning_no,batting_team,delivery_no,batter,bowler,non_striker,runs_batter,runs_extras,runs_non_boundary,runs_total,wicket_fielder,wicket_kind,wicket_player_out,extras_type,extras_run,over,ball
wsl0001,1,Loughborough Lightning,0.1,GA Elwiss,S Ismail,D van Niekerk,4,0,0,4,,,,,,0,1
wsl0001,1,Loughborough Lightning,0.2,GA Elwiss,S Ismail,D van Niekerk,1,0,0,1,,,,,,0,2
wsl0001,1,Loughborough Lightning,0.3,D van Niekerk,S Ismail,GA Elwiss,0,0,0,0,,,,,,0,3
wsl0001,1,Loughborough Lightning,0.4,D van Niekerk,S Ismail,GA Elwiss,0,0,0,0,,,,,,0,4
wsl0001,1,Loughborough Lightning,0.5,D van Niekerk,S Ismail,GA Elwiss,1,0,0,1,,,,,,0,5
wsl0001,1,Loughborough Lightning,0.6,GA Elwiss,S Ismail,D van Niekerk,0,0,0,0,,,,,,0,6
wsl0001,1,Loughborough Lightning,1.1,D van Niekerk,KH Brunt,GA Elwiss,0,0,0,0,HJ Armitage,caught,D van Niekerk,,,1,1
wsl0001,1,Loughborough Lightning,1.2,SFM Devine,KH Brunt,GA Elwiss,0,0,0,0,,,,,,1,2
wsl0001,1,Loughborough Lightning,1.3,SFM Devine,KH Brunt,GA Elwiss,0,0,0,0,,,,,,1,3
wsl0001,1,Loughborough Lightning,1.4,SFM Devine,KH Brunt,GA Elwiss,0,0,0,0,,,,,,1,4
wsl0001,1,Loughborough Lightning,1.5,SFM Devine,KH Brunt,GA Elwiss,0,0,0,0,,,,,,1,5
wsl0001,1,Loughborough Lightning,1.6,SFM Devine,KH Brunt,GA Elwiss,0,0,0,0,,,,,,1,6
wsl0001,1,Loughborough Lightning,2.1,GA Elwiss,S Ismail,SFM Devine,1,0,0,1,,,,,,2,1
wsl0001,1,Loughborough Lightning,2.2,SFM Devine,S Ismail,GA Elwiss,1,0,0,1,,,,,,2,2
wsl0001,1,Loughborough Lightning,2.3,GA Elwiss,S Ismail,SFM Devine,0,4,0,4,,,,legbyes,4.0,2,3
wsl0001,1,Loughborough Lightning,2.4,GA Elwiss,S Ismail,SFM Devine,1,0,0,1,,,,,,2,4
wsl0001,1,Loughborough Lightning,2.5,SFM Devine,S Ismail,GA Elwiss,4,0,0,4,,,,,,2,5
wsl0001,1,Loughborough Lightning,2.6,SFM Devine,S Ismail,GA Elwiss,0,0,0,0,,,,,,2,6
wsl0001,1,Loughborough Lightning,3.1,GA Elwiss,KH Brunt,SFM Devine,1,0,0,1,,,,,,3,1
wsl0001,1,Loughborough Lightning,3.2,SFM Devine,KH Brunt,GA Elwiss,0,0,0,0,,,,,,3,2
wsl0001,1,Loughborough Lightning,3.3,SFM Devine,KH Brunt,GA Elwiss,0,0,0,0,,,,,,3,3
wsl0001,1,Loughborough Lightning,3.4,SFM Devine,KH Brunt,GA Elwiss,0,0,0,0,,,,,,3,4
