key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
wsl0001,,runs,43,,,,,Loughborough Lightning
wsl0002,,wickets,4,,,,,Western Storm
wsl0003,,wickets,6,,,,,Southern Vipers
wsl0004,,runs,6,,,,,Lancashire Thunder
wsl0005,,wickets,6,,,,,Surrey Stars
wsl0006,,runs,5,,,,,Loughborough Lightning
wsl0007,,runs,11,,,,,Southern Vipers
wsl0008,,wickets,5,,,,,Western Storm
wsl0009,,runs,54,,,,,Southern Vipers
wsl0010,,wickets,7,,,,,Surrey Stars
wsl0011,,wickets,8,,,,,Western Storm
wsl0012,,runs,34,,,,,Loughborough Lightning
wsl0013,,wickets,6,,,,,Western Storm
wsl0014,,runs,59,,,,,Southern Vipers
wsl0015,,wickets,7,,,,,Southern Vipers
wsl0016,,wickets,5,,,,,Western Storm
wsl0017,,wickets,9,,,,,Southern Vipers
wsl0018,,runs,28,,,,,Yorkshire Diamonds
wsl0019,,wickets,5,,,,,Western Storm
wsl0020,,wickets,8,,,,,Surrey Stars
wsl0021,,runs,46,,,,,Southern Vipers
wsl0022,,runs,33,,,,,Surrey Stars
wsl0023,,runs,17,,,,,Yorkshire Diamonds
wsl0024,,wickets,10,,,,,Western Storm
wsl0025,,runs,4,,,D/L,,Surrey Stars
wsl0026,,runs,50,,,,,Loughborough Lightning
wsl0027,,runs,52,,,,,Surrey Stars
wsl0028,,wickets,6,,,,,Southern Vipers
wsl0029,,wickets,5,,,,,Western Storm
wsl0030,,runs,81,,,,,Loughborough Lightning
wsl0031,,runs,30,,,,,Southern Vipers
wsl0032,,wickets,7,,,,,Western Storm
wsl0033,,wickets,3,,,,,Western Storm
wsl0034,,wickets,7,,,,,Western Storm
wsl0035,,wickets,6,,,,,Loughborough Lightning
wsl0036,,wickets,7,,,,,Southern Vipers
wsl0037,,wickets,6,,,,,Loughborough Lightning
wsl0038,,wickets,7,,,,,Surrey Stars
wsl0039,,runs,33,,,,,Lancashire Thunder
wsl0040,,runs,18,,,,,Western Storm
wsl0041,,runs,4,,,,,Lancashire Thunder
wsl0042,,runs,41,,,,,Loughborough Lightning
wsl0043,,wickets,5,,,,,Lancashire Thunder
wsl0044,,wickets,9,,,,,Western Storm
wsl0045,,runs,12,,,,,Yorkshire Diamonds
wsl0046,,wickets,9,,,,,Loughborough Lightning
wsl0047,,wickets,7,,,,,Western Storm
wsl0048,,wickets,3,,,,,Loughborough Lightning
wsl0049,,wickets,7,,,,,Western Storm
wsl0050,,runs,55,,,,,Surrey Stars
wsl0051,,runs,16,,,,,Southern Vipers
wsl0052,,runs,76,,,,,Western Storm
wsl0053,,wickets,7,,,,,Surrey Stars
wsl0054,,,,,,,no result,
wsl0055,,wickets,9,,,,,Loughborough Lightning
wsl0056,,wickets,9,,,,,Yorkshire Diamonds
wsl0057,,runs,9,,,,,Lancashire Thunder
wsl0058,,wickets,4,,,,,Surrey Stars
wsl0059,,wickets,9,,,,,Loughborough Lightning
wsl0060,,wickets,5,,,,,Surrey Stars
wsl0061,,runs,3,,,,,Yorkshire Diamonds
wsl0062,,runs,9,,,,,Lancashire Thunder
wsl0063,,runs,66,,,,,Surrey Stars
wsl0064,,runs,9,,,,,Surrey Stars
wsl0065,,runs,9,,,,,Surrey Stars
wsl0066,,wickets,7,,,,,Western Storm
wsl0067,,runs,34,,,,,Southern Vipers
wsl0068,,wickets,8,,,,,Surrey Stars
wsl0069,,wickets,2,,,,,Southern Vipers
wsl0070,,wickets,6,,,,,Western Storm
wsl0071,,wickets,3,,,,,Western Storm
wsl0072,,wickets,9,,,,,Loughborough Lightning
wsl0073,,runs,40,,,,,Western Storm
wsl0074,,runs,9,,,,,Yorkshire Diamonds
wsl0075,,wickets,9,,,,,Western Storm
wsl0076,,,,,,,tie,
wsl0077,,wickets,7,,,,,Loughborough Lightning
wsl0078,,wickets,6,,,,,Loughborough Lightning
wsl0079,,runs,89,,,,,Southern Vipers
wsl0080,,wickets,5,,,,,Western Storm
wsl0081,,runs,35,,,D/L,,Loughborough Lightning
wsl0082,,runs,15,,,,,Western Storm
wsl0083,,wickets,5,,,,,Yorkshire Diamonds
wsl0084,,runs,4,,,,,Western Storm
wsl0085,,runs,3,,,,,Southern Vipers
wsl0086,,wickets,5,,,,,Loughborough Lightning
wsl0087,,wickets,4,,,,,Yorkshire Diamonds
wsl0088,,runs,77,,,,,Western Storm
wsl0089,,wickets,4,,,,,Yorkshire Diamonds
wsl0090,,wickets,8,,,,,Loughborough Lightning
wsl0091,,runs,36,,,,,Loughborough Lightning
wsl0092,,runs,5,,,,,Yorkshire Diamonds
wsl0093,,runs,35,,,,,Surrey Stars
wsl0094,,wickets,6,,,,,Western Storm
wsl0095,,wickets,5,,,,,Southern Vipers
