key,player_of_match
wsl0017,SW Bates
wsl0018,AN Davidson-Richards
wsl0019,SR Taylor
wsl0020,M Kapp
wsl0021,SW Bates
wsl0022,RM Farrell
wsl0023,AC Jayangani
wsl0024,RH Priest
wsl0025,M Kapp
wsl0026,EA Perry
wsl0027,L Lee
wsl0028,DN Wyatt
wsl0029,RH Priest
wsl0030,EA Perry
wsl0031,M du Preez
wsl0032,RH Priest
wsl0033,SR Taylor
wsl0034,HC Knight
wsl0037,SFM Devine
wsl0039,E Threlkeld
wsl0040,S Mandhana
wsl0041,EL Lamb
wsl0042,SFM Devine
wsl0043,NE Bolton
wsl0044,S Mandhana
wsl0046,SFM Devine
wsl0048,EJ Villani
wsl0050,L Lee
wsl0051,TT Beaumont
wsl0053,L Lee
wsl0056,BL Mooney
wsl0058,NR Sciver
wsl0059,RL Haynes
wsl0060,L Lee
wsl0062,S Ecclestone
wsl0063,L Lee
wsl0064,NR Sciver
wsl0065,LA Marsh
wsl0066,HC Knight
wsl0067,DN Wyatt
wsl0068,L Lee
wsl0069,SR Taylor
wsl0070,FC Wilson
wsl0071,FC Wilson
wsl0072,HK Matthews
wsl0073,FR Davies
wsl0074,L Winfield
wsl0075,RH Priest
wsl0076,SR Taylor
wsl0077,M du Preez
wsl0078,M du Preez
wsl0079,DN Wyatt
wsl0080,S Mandhana
wsl0081,GL Adams
wsl0082,FR Davies
wsl0083,JI Rodrigues
wsl0084,SJ Taylor
wsl0085,DN Wyatt
wsl0086,M du Preez
wsl0087,AJ Healy
wsl0088,RH Priest
wsl0089,JI Rodrigues
wsl0090,AE Jones
wsl0091,AE Jones
wsl0092,JI Rodrigues
wsl0093,L Lee
wsl0094,HC Knight
wsl0095,SW Bates
wsl0015,HC Knight
wsl0016,SW Bates
wsl0035,M du Preez
wsl0036,FR Davies
wsl0038,FC Wilson
wsl0045,DN Wyatt
wsl0047,NR Sciver
wsl0054,BL Mooney
