key,team
wsl0001,Loughborough Lightning
wsl0001,Yorkshire Diamonds
wsl0002,Lancashire Thunder
wsl0002,Western Storm
wsl0003,Surrey Stars
wsl0003,Southern Vipers
wsl0004,Lancashire Thunder
wsl0004,Loughborough Lightning
wsl0005,Yorkshire Diamonds
wsl0005,Surrey Stars
wsl0006,Loughborough Lightning
wsl0006,Western Storm
wsl0007,Southern Vipers
wsl0007,Lancashire Thunder
wsl0008,Surrey Stars
wsl0008,Western Storm
wsl0009,Southern Vipers
wsl0009,Yorkshire Diamonds
wsl0010,Lancashire Thunder
wsl0010,Surrey Stars
wsl0011,Southern Vipers
wsl0011,Western Storm
wsl0012,Loughborough Lightning
wsl0012,Surrey Stars
wsl0013,Yorkshire Diamonds
wsl0013,Western Storm
wsl0014,Southern Vipers
wsl0014,Loughborough Lightning
wsl0015,Western Storm
wsl0015,Southern Vipers
wsl0016,Loughborough Lightning
wsl0016,Western Storm
wsl0017,Western Storm
wsl0017,Southern Vipers
wsl0018,Yorkshire Diamonds
wsl0018,Lancashire Thunder
wsl0019,Loughborough Lightning
wsl0019,Western Storm
wsl0020,Yorkshire Diamonds
wsl0020,Surrey Stars
wsl0021,Southern Vipers
wsl0021,Loughborough Lightning
wsl0022,Surrey Stars
wsl0022,Lancashire Thunder
wsl0023,Yorkshire Diamonds
wsl0023,Loughborough Lightning
wsl0024,Yorkshire Diamonds
wsl0024,Western Storm
wsl0025,Surrey Stars
wsl0025,Southern Vipers
wsl0026,Loughborough Lightning
wsl0026,Lancashire Thunder
wsl0027,Surrey Stars
wsl0027,Western Storm
wsl0028,Lancashire Thunder
wsl0028,Southern Vipers
wsl0029,Lancashire Thunder
wsl0029,Western Storm
wsl0030,Loughborough Lightning
wsl0030,Surrey Stars
wsl0031,Southern Vipers
wsl0031,Yorkshire Diamonds
wsl0032,Southern Vipers
wsl0032,Western Storm
wsl0033,Surrey Stars
wsl0033,Western Storm
wsl0034,Yorkshire Diamonds
wsl0034,Western Storm
wsl0035,Lancashire Thunder
wsl0035,Loughborough Lightning
wsl0036,Surrey Stars
wsl0036,Southern Vipers
wsl0037,Southern Vipers
wsl0037,Loughborough Lightning
wsl0038,Western Storm
wsl0038,Surrey Stars
wsl0039,Lancashire Thunder
wsl0039,Yorkshire Diamonds
wsl0040,Western Storm
wsl0040,Loughborough Lightning
wsl0041,Lancashire Thunder
wsl0041,Southern Vipers
wsl0042,Loughborough Lightning
wsl0042,Yorkshire Diamonds
wsl0043,Surrey Stars
wsl0043,Lancashire Thunder
wsl0044,Southern Vipers
wsl0044,Western Storm
wsl0045,Yorkshire Diamonds
wsl0045,Southern Vipers
wsl0046,Surrey Stars
wsl0046,Loughborough Lightning
wsl0047,Lancashire Thunder
wsl0047,Western Storm
wsl0048,Southern Vipers
wsl0048,Loughborough Lightning
wsl0049,Yorkshire Diamonds
wsl0049,Western Storm
wsl0050,Surrey Stars
wsl0050,Lancashire Thunder
wsl0051,Southern Vipers
wsl0051,Yorkshire Diamonds
wsl0052,Western Storm
wsl0052,Lancashire Thunder
wsl0053,Loughborough Lightning
wsl0053,Surrey Stars
wsl0054,Southern Vipers
wsl0054,Western Storm
wsl0055,Lancashire Thunder
wsl0055,Loughborough Lightning
wsl0056,Surrey Stars
wsl0056,Yorkshire Diamonds
wsl0057,Lancashire Thunder
wsl0057,Yorkshire Diamonds
wsl0058,Southern Vipers
wsl0058,Surrey Stars
wsl0059,Western Storm
wsl0059,Loughborough Lightning
wsl0060,Western Storm
