key,toss_winner,toss_decision,decision,winner
wsl0001,,,bat,Loughborough Lightning
wsl0002,,,bat,Lancashire Thunder
wsl0003,,,bat,Surrey Stars
wsl0004,,,field,Loughborough Lightning
wsl0005,,,bat,Yorkshire Diamonds
wsl0006,,,bat,Loughborough Lightning
wsl0007,,,bat,Southern Vipers
wsl0008,,,bat,Surrey Stars
wsl0009,,,bat,Southern Vipers
wsl0010,,,field,Surrey Stars
wsl0011,,,bat,Southern Vipers
wsl0012,,,field,Surrey Stars
wsl0013,,,bat,Yorkshire Diamonds
wsl0014,,,bat,Southern Vipers
wsl0015,,,field,Southern Vipers
wsl0016,,,field,Western Storm
wsl0017,,,field,Southern Vipers
wsl0018,,,field,Lancashire Thunder
wsl0019,,,field,Western Storm
wsl0020,,,bat,Yorkshire Diamonds
wsl0021,,,field,Loughborough Lightning
wsl0022,,,bat,Surrey Stars
wsl0023,,,field,Loughborough Lightning
wsl0024,,,field,Western Storm
wsl0025,,,bat,Surrey Stars
wsl0026,,,bat,Loughborough Lightning
wsl0027,,,field,Western Storm
wsl0028,,,bat,Lancashire Thunder
wsl0029,,,field,Western Storm
wsl0030,,,bat,Loughborough Lightning
wsl0031,,,field,Yorkshire Diamonds
wsl0032,,,field,Western Storm
wsl0033,,,bat,Surrey Stars
wsl0034,,,field,Western Storm
wsl0035,,,field,Loughborough Lightning
wsl0036,,,field,Southern Vipers
wsl0037,,,field,Loughborough Lightning
wsl0038,,,field,Surrey Stars
wsl0039,,,field,Yorkshire Diamonds
wsl0040,,,field,Loughborough Lightning
wsl0041,,,field,Southern Vipers
wsl0042,,,bat,Loughborough Lightning
wsl0043,,,field,Lancashire Thunder
wsl0044,,,field,Western Storm
wsl0045,,,bat,Yorkshire Diamonds
wsl0046,,,bat,Surrey Stars
wsl0047,,,field,Western Storm
wsl0048,,,bat,Southern Vipers
wsl0049,,,bat,Yorkshire Diamonds
wsl0050,,,field,Lancashire Thunder
wsl0051,,,field,Yorkshire Diamonds
wsl0052,,,field,Lancashire Thunder
wsl0053,,,field,Surrey Stars
wsl0054,,,field,Western Storm
wsl0055,,,bat,Lancashire Thunder
wsl0056,,,field,Yorkshire Diamonds
wsl0057,,,field,Yorkshire Diamonds
wsl0058,,,field,Surrey Stars
wsl0059,,,field,Loughborough Lightning
wsl0060,,,field,Surrey Stars
wsl0061,,,bat,Yorkshire Diamonds
wsl0062,,,bat,Lancashire Thunder
wsl0063,,,field,Loughborough Lightning
wsl0064,,,field,Western Storm
wsl0065,,,bat,Surrey Stars
wsl0066,,,bat,Loughborough Lightning
wsl0067,,,bat,Southern Vipers
wsl0068,,,field,Surrey Stars
wsl0069,,,bat,Loughborough Lightning
wsl0070,,,bat,Lancashire Thunder
wsl0071,,,bat,Southern Vipers
wsl0072,,,field,Loughborough Lightning
wsl0073,,,field,Loughborough Lightning
wsl0074,,,bat,Yorkshire Diamonds
wsl0075,,,field,Western Storm
wsl0076,,,bat,Lancashire Thunder
wsl0077,,,field,Loughborough Lightning
wsl0078,,,bat,Yorkshire Diamonds
wsl0079,,,field,Surrey Stars
wsl0080,,,bat,Lancashire Thunder
wsl0081,,,field,Lancashire Thunder
wsl0082,,,bat,Western Storm
wsl0083,,,field,Yorkshire Diamonds
wsl0084,,,field,Surrey Stars
wsl0085,,,bat,Southern Vipers
wsl0086,,,bat,Surrey Stars
wsl0087,,,bat,Lancashire Thunder
wsl0088,,,field,Surrey Stars
wsl0089,,,field,Yorkshire Diamonds
wsl0090,,,bat,Lancashire Thunder
wsl0091,,,field,Southern Vipers
wsl0092,,,field,Western Storm
wsl0093,,,field,Lancashire Thunder
wsl0094,,,bat,Southern Vipers
wsl0095,,,bat,Loughborough Lightning
