key,umpire
wsl0001,BJ Debenham
wsl0001,Tom Lungley
wsl0002,Chris Watts
wsl0002,RJ Warren
wsl0003,ID Blackwell
wsl0003,PR Pollard
wsl0004,ID Blackwell
wsl0004,RJ Warren
wsl0005,ID Blackwell
wsl0005,RJ Warren
wsl0006,BJ Debenham
wsl0006,RJ Warren
wsl0007,PR Pollard
wsl0007,Tom Lungley
wsl0008,BJ Debenham
wsl0008,Chris Watts
wsl0009,BJ Debenham
wsl0009,Chris Watts
wsl0010,RJ Warren
wsl0010,Tom Lungley
wsl0011,ID Blackwell
wsl0011,Tom Lungley
wsl0012,PR Pollard
wsl0012,RJ Warren
wsl0013,Chris Watts
wsl0013,PR Pollard
wsl0014,BJ Debenham
wsl0014,Tom Lungley
wsl0015,Chris Watts
wsl0015,RJ Warren
wsl0016,BJ Debenham
wsl0016,Tom Lungley
wsl0017,DJ Millns
wsl0017,SJ O'Shaughnessy
wsl0018,M Burns
wsl0018,NL Bainton
wsl0019,ID Blackwell
wsl0019,NGB Cook
wsl0020,NA Mallender
wsl0020,RT Robinson
wsl0021,MJ Saggers
wsl0021,SJ O'Shaughnessy
wsl0022,GD Lloyd
wsl0022,NL Bainton
wsl0023,James Middlebrook
wsl0023,Mark Newell
wsl0024,BJ Debenham
wsl0024,James Middlebrook
wsl0025,Mark Newell
wsl0025,RJ Warren
wsl0026,Chris Watts
wsl0026,ID Blackwell
wsl0027,Chris Watts
wsl0027,ID Blackwell
wsl0028,BJ Debenham
wsl0028,PR Pollard
wsl0029,RJ Warren
wsl0029,Tom Lungley
wsl0030,James Middlebrook
wsl0030,PR Pollard
wsl0031,Chris Watts
wsl0031,ID Blackwell
wsl0032,DJ Millns
wsl0032,SJ O'Shaughnessy
wsl0033,DJ Millns
wsl0033,MJ Saggers
wsl0034,MJ Saggers
wsl0034,RT Robinson
wsl0035,IN Ramage
wsl0035,Rob White
wsl0036,Mark Newell
wsl0036,S Redfern
wsl0037,NA Mallender
wsl0037,SJ O'Shaughnessy
wsl0038,Mark Newell
wsl0038,S Redfern
wsl0039,M Burns
wsl0039,RJ Bailey
wsl0040,IJ Gould
wsl0040,M Burns
wsl0041,James Middlebrook
wsl0041,S Redfern
wsl0042,S Redfern
wsl0042,Tom Lungley
wsl0043,GD Lloyd
wsl0043,NGB Cook
wsl0044,Chris Watts
wsl0044,Rob White
wsl0045,S Redfern
wsl0045,Tom Lungley
wsl0046,Chris Watts
wsl0046,Rob White
wsl0047,PK Baldwin
wsl0047,S Redfern
wsl0048,IN Ramage
wsl0048,S Redfern
wsl0049,Chris Watts
wsl0049,James Middlebrook
wsl0050,JH Evans
wsl0050,M Burns
wsl0051,NL Bainton
wsl0051,RT Robinson
wsl0052,BV Taylor
wsl0052,S Redfern
wsl0053,James Middlebrook
wsl0053,Rob White
wsl0054,Chris Watts
wsl0054,Rob White
wsl0055,IN Ramage
wsl0055,Mark Newell
wsl0056,James Middlebrook
wsl0056,S Redfern
wsl0057,James Middlebrook
wsl0057,Rob White
wsl0058,MA Gough
wsl0058,S Redfern
wsl0059,GD Lloyd
wsl0059,NGB Cook
wsl0060,IJ Gould
wsl0060,NGB Cook
wsl0061,James Middlebrook
wsl0061,Tom Lungley
wsl0062,Chris Watts
wsl0062,Mark Newell
wsl0063,NL Bainton
wsl0063,S Redfern
wsl0064,JW Lloyds
wsl0064,NL Bainton
wsl0065,JH Evans
wsl0065,NGB Cook
wsl0066,Mark Newell
wsl0066,Rob White
wsl0067,N Pratt
wsl0067,S Redfern
wsl0068,Mark Newell
wsl0068,Rob White
wsl0069,James Middlebrook
wsl0069,S Redfern
wsl0070,AG Wharf
wsl0070,JH Evans
wsl0071,Chris Watts
wsl0071,James Middlebrook
wsl0072,Rob White
wsl0072,S Redfern
wsl0073,DJ Millns
wsl0073,MJ Saggers
wsl0074,IN Ramage
wsl0074,Tom Lungley
wsl0075,S Redfern
wsl0075,Tom Lungley
wsl0076,Mark Newell
wsl0076,MV Waldron
wsl0077,Chris Watts
wsl0077,Hassan Adnan
wsl0078,IN Ramage
wsl0078,N Pratt
wsl0079,MV Waldron
wsl0079,Rob White
wsl0080,Hassan Adnan
wsl0080,S Redfern
wsl0081,NGB Cook
wsl0081,RT Robinson
wsl0082,IN Ramage
wsl0082,S Redfern
wsl0083,Hassan Adnan
wsl0083,MV Waldron
wsl0084,IN Ramage
wsl0084,N Pratt
wsl0085,AG Wharf
wsl0085,NL Bainton
wsl0086,MV Waldron
wsl0086,N Pratt
wsl0087,Chris Watts
wsl0087,James Middlebrook
wsl0088,S Redfern
wsl0088,Tom Lungley
wsl0089,Hassan Adnan
wsl0089,James Middlebrook
wsl0090,GD Lloyd
wsl0090,JW Lloyds
wsl0091,James Middlebrook
wsl0091,Rob White
wsl0092,Mark Newell
wsl0092,Tom Lungley
wsl0093,PK Baldwin
wsl0093,S Redfern
wsl0094,Mark Newell
wsl0094,Rob White
wsl0095,Mark Newell
wsl0095,Rob White
