key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
wtc0001,Mumbai,Women's T20 Challenge Match,2018-05-22,female,T20,,20,SW Bates,"Wankhede Stadium, Mumbai"
wtc0002,Jaipur,Women's T20 Challenge,2019-05-06,female,T20,,20,S Mandhana,"Sawai Mansingh Stadium, Jaipur"
wtc0003,Jaipur,Women's T20 Challenge,2019-05-08,female,T20,,20,DN Wyatt,"Sawai Mansingh Stadium, Jaipur"
wtc0004,Jaipur,Women's T20 Challenge,2019-05-09,female,T20,,20,JI Rodrigues,"Sawai Mansingh Stadium, Jaipur"
wtc0005,Jaipur,Women's T20 Challenge,2019-05-11,female,T20,,20,H Kaur,"Sawai Mansingh Stadium, Jaipur"
wtc0006,Sharjah,Women's T20 Challenge,2020-11-04,female,T20,,20,S Luus,Sharjah Cricket Stadium
wtc0007,Sharjah,Women's T20 Challenge,2020-11-05,female,T20,,20,S Ecclestone,Sharjah Cricket Stadium
wtc0008,Sharjah,Women's T20 Challenge,2020-11-07,female,T20,,20,AC Jayangani,Sharjah Cricket Stadium
wtc0009,Sharjah,Women's T20 Challenge,2020-11-09,female,T20,,20,S Mandhana,Sharjah Cricket Stadium
wtc0010,Pune,Women's T20 Challenge,2022-05-23,female,T20,,20,P Vastrakar,"Maharashtra Cricket Association Stadium, Pune"
