key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
wtc0001,,wickets,3,,,,,Supernovas
wtc0002,,runs,2,,,,,Trailblazers
wtc0003,,wickets,3,,,,,Velocity
wtc0004,,runs,12,,,,,Supernovas
wtc0005,,wickets,4,,,,,Supernovas
wtc0006,,wickets,5,,,,,Velocity
wtc0007,,wickets,9,,,,,Trailblazers
wtc0008,,runs,2,,,,,Supernovas
wtc0009,,runs,16,,,,,Trailblazers
wtc0010,,runs,49,,,,,Supernovas
wtc0011,,wickets,7,,,,,Velocity
wtc0012,,runs,16,,,,,Trailblazers
wtc0013,,runs,4,,,,,Supernovas
